onset	duration	trial_type	rating_par
1.002	5	att_neut	n/a
7.010	3	rating_par	-0.679
15.008	5	att_neg	n/a
21.016	3	rating_par	-0.679
29.015	5	att_neg	n/a
36.002	3	rating_par	-0.679
41.014	5	suppr_neg	n/a
48.001	3	rating_par	0.321
53.013	5	suppr_neg	n/a
61.012	3	rating_par	1.321
69.011	5	att_neg	n/a
76.015	3	rating_par	1.321
83.001	5	suppr_neg	n/a
89.009	3	rating_par	0.321
100.012	5	att_neut	n/a
106.003	3	rating_par	-0.679
111.015	5	att_neut	n/a
117.006	3	rating_par	-0.679
121.006	5	suppr_neg	n/a
127.013	3	rating_par	0.321
139.012	5	att_neg	n/a
146.016	3	rating_par	0.321
150.015	5	att_neut	n/a
157.002	3	rating_par	-0.679
163.010	5	suppr_neg	n/a
171.009	3	rating_par	0.321
176.004	5	att_neut	n/a
183.008	3	rating_par	-0.679
188.003	5	att_neut	n/a
196.002	3	junk_rating	n/a
201.014	5	att_neg	n/a
208.001	3	rating_par	1.321
212.017	5	att_neut	n/a
219.004	3	rating_par	-0.679
225.012	5	att_neg	n/a
233.011	3	rating_par	1.321
240.014	5	att_neut	n/a
247.001	3	rating_par	-0.679
252.013	5	suppr_neg	n/a
259.016	3	junk_rating	n/a
263.016	5	att_neg	n/a
270.003	3	rating_par	1.321
276.011	5	att_neg	n/a
285.005	3	rating_par	0.321
292.009	5	att_neut	n/a
301.004	3	rating_par	-0.679
307.012	5	suppr_neg	n/a
314.015	3	rating_par	-0.679
319.010	5	suppr_neg	n/a
325.001	3	rating_par	0.321
332.005	5	suppr_neg	n/a
339.008	3	rating_par	-0.679
344.004	5	suppr_neg	n/a
351.007	3	rating_par	0.321
355.007	5	att_neg	n/a
361.014	3	rating_par	0.321
365.014	5	att_neut	n/a
373.013	3	rating_par	-0.679
381.012	5	att_neg	n/a
387.003	3	rating_par	-0.679
