onset	duration	weight	trial_type
24.3065	1	1.0	Incorrect_Task
25.9465	1	1.0	Correct_Task
27.5865	1	1.0	Incorrect_Task
29.2265	1	1.0	Incorrect_Task
30.8664	1	1.0	Correct_Task
32.5064	1	1.0	Correct_Task
34.1464	1	1.0	Correct_Task
35.7864	1	1.0	Correct_Task
37.4264	1	1.0	Correct_Task
39.0664	1	1.0	No_Response_Task
56.973	1	1.0	Response_Control
58.613	1	1.0	Response_Control
60.253	1	1.0	No_Response_Control
61.893	1	1.0	Response_Control
63.5329	1	1.0	Response_Control
65.1729	1	1.0	Response_Control
66.8129	1	1.0	Response_Control
68.4529	1	1.0	Response_Control
70.0929	1	1.0	No_Response_Control
71.7329	1	1.0	Response_Control
89.6395	1	1.0	Correct_Task
91.2795	1	1.0	Correct_Task
92.9195	1	1.0	Correct_Task
94.5595	1	1.0	Correct_Task
96.1994	1	1.0	Incorrect_Task
97.8394	1	1.0	Correct_Task
99.4794	1	1.0	Correct_Task
101.1194	1	1.0	Correct_Task
102.7594	1	1.0	Correct_Task
104.3994	1	1.0	Correct_Task
122.306	1	1.0	Response_Control
123.946	1	1.0	Response_Control
125.586	1	1.0	Response_Control
127.226	1	1.0	Response_Control
128.866	1	1.0	No_Response_Control
130.5059	1	1.0	Response_Control
132.1459	1	1.0	Response_Control
133.7859	1	1.0	Response_Control
135.4259	1	1.0	Response_Control
137.0659	1	1.0	No_Response_Control
154.9725	1	1.0	Correct_Task
156.6125	1	1.0	Correct_Task
158.2525	1	1.0	Incorrect_Task
159.8925	1	1.0	No_Response_Task
161.5325	1	1.0	Correct_Task
163.1724	1	1.0	Correct_Task
164.8124	1	1.0	Correct_Task
166.4524	1	1.0	Incorrect_Task
168.0924	1	1.0	Correct_Task
169.7324	1	1.0	Correct_Task
187.639	1	1.0	Response_Control
189.279	1	1.0	Response_Control
190.919	1	1.0	Response_Control
192.559	1	1.0	No_Response_Control
194.199	1	1.0	Response_Control
195.839	1	1.0	Response_Control
197.4789	1	1.0	Response_Control
199.1189	1	1.0	No_Response_Control
200.7589	1	1.0	Response_Control
202.3989	1	1.0	No_Response_Control
220.3055	1	1.0	Correct_Task
221.9455	1	1.0	Correct_Task
223.5855	1	1.0	Correct_Task
225.2255	1	1.0	Incorrect_Task
226.8655	1	1.0	Correct_Task
228.5055	1	1.0	Correct_Task
230.1454	1	1.0	Correct_Task
231.7854	1	1.0	Correct_Task
233.4254	1	1.0	Correct_Task
235.0654	1	1.0	Correct_Task
252.972	1	1.0	Response_Control
254.612	1	1.0	Response_Control
256.252	1	1.0	Response_Control
257.892	1	1.0	Response_Control
259.532	1	1.0	Response_Control
261.172	1	1.0	Response_Control
262.812	1	1.0	Response_Control
264.4519	1	1.0	No_Response_Control
266.0919	1	1.0	Response_Control
267.7319	1	1.0	Response_Control
285.6385	1	1.0	Correct_Task
287.2785	1	1.0	No_Response_Task
288.9185	1	1.0	Correct_Task
290.5585	1	1.0	Correct_Task
292.1985	1	1.0	No_Response_Task
293.8385	1	1.0	Correct_Task
295.4785	1	1.0	Incorrect_Task
297.1185	1	1.0	Incorrect_Task
298.7584	1	1.0	Correct_Task
300.3984	1	1.0	Incorrect_Task
318.305	1	1.0	Response_Control
319.945	1	1.0	Response_Control
321.585	1	1.0	Response_Control
323.225	1	1.0	No_Response_Control
324.865	1	1.0	Response_Control
326.505	1	1.0	Response_Control
328.145	1	1.0	Response_Control
329.785	1	1.0	No_Response_Control
331.4249	1	1.0	Response_Control
333.0649	1	1.0	Response_Control
350.9715	1	1.0	Incorrect_Task
352.6115	1	1.0	Incorrect_Task
354.2515	1	1.0	Correct_Task
355.8915	1	1.0	No_Response_Task
357.5315	1	1.0	Correct_Task
359.1715	1	1.0	Correct_Task
360.8115	1	1.0	Incorrect_Task
362.4515	1	1.0	Correct_Task
