onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	1398
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	770
20.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1526
30.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	635
42.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1236
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	696
64.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1258
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1037
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	894
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	747
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	651
130.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1094
144.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	728
154.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1116
164.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	927
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	891
184.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	774
196.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	896
208.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	900
220.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	935
234.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	769
248.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	914
260.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	933
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	727
