onset	duration	trial_type	congruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_incorrect	n/a	0	2	incongruent	793	n/a
2.5	1.0	incongruent_incorrect	n/a	0	2	incongruent	542	n/a
5.0	1.0	congruent_correct	n/a	1	1	congruent	931	n/a
7.5	1.0	congruent_correct	n/a	1	1	congruent	966	n/a
10.0	1.0	incongruent_correct	n/a	1	2	incongruent	764	n/a
12.5	1.0	incongruent_correct	n/a	1	2	incongruent	713	n/a
20.0	1.0	incongruent_correct	n/a	1	2	incongruent	662	n/a
22.5	1.0	incongruent_correct	n/a	1	2	incongruent	547	n/a
25.0	1.0	congruent_correct	n/a	1	1	congruent	784	n/a
27.5	1.0	congruent_correct	n/a	1	1	congruent	492	n/a
30.0	1.0	congruent_correct	n/a	1	1	congruent	649	n/a
32.5	1.0	congruent_correct	n/a	1	1	congruent	693	n/a
45.0	1.0	congruent_correct	n/a	1	1	congruent	1021	n/a
47.5	1.0	congruent_correct	n/a	1	1	congruent	434	n/a
50.0	1.0	incongruent_correct	n/a	1	2	incongruent	767	n/a
52.5	1.0	incongruent_correct	n/a	1	2	incongruent	667	n/a
55.0	1.0	congruent_correct	n/a	1	1	congruent	682	n/a
57.5	1.0	incongruent_correct	n/a	1	2	incongruent	780	n/a
65.0	1.0	congruent_correct	n/a	1	1	congruent	571	n/a
67.5	1.0	incongruent_correct	n/a	1	2	incongruent	679	n/a
70.0	1.0	incongruent_correct	n/a	1	2	incongruent	995	n/a
72.5	1.0	incongruent_correct	n/a	1	2	incongruent	577	n/a
75.0	1.0	congruent_correct	n/a	1	1	congruent	878	n/a
77.5	1.0	congruent_correct	n/a	1	1	congruent	513	n/a
80.0	1.0	congruent_correct	n/a	1	1	congruent	663	n/a
82.5	1.0	congruent_correct	n/a	1	1	congruent	566	n/a
85.0	1.0	congruent_correct	n/a	1	1	congruent	758	n/a
87.5	1.0	incongruent_correct	n/a	1	2	incongruent	875	n/a
90.0	1.0	incongruent_correct	n/a	1	2	incongruent	737	n/a
92.5	1.0	congruent_correct	n/a	1	1	congruent	654	n/a
95.0	1.0	incongruent_correct	n/a	1	2	incongruent	643	n/a
97.5	1.0	incongruent_correct	n/a	1	2	incongruent	1150	n/a
100.0	1.0	incongruent_correct	n/a	1	2	incongruent	620	n/a
102.5	1.0	incongruent_correct	n/a	1	2	incongruent	424	n/a
105.0	1.0	congruent_correct	n/a	1	1	congruent	516	n/a
107.5	1.0	congruent_correct	n/a	1	1	congruent	386	n/a
110.0	1.0	incongruent_correct	n/a	1	2	incongruent	679	n/a
112.5	1.0	incongruent_correct	n/a	1	2	incongruent	867	n/a
120.0	1.0	incongruent_correct	n/a	1	2	incongruent	1081	n/a
122.5	1.0	congruent_correct	n/a	1	1	congruent	694	n/a
125.0	1.0	congruent_correct	n/a	1	1	congruent	715	n/a
127.5	1.0	congruent_correct	n/a	1	1	congruent	784	n/a
135.0	1.0	incongruent_correct	n/a	1	2	incongruent	685	n/a
137.5	1.0	congruent_correct	n/a	1	1	congruent	585	n/a
