onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	794
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	684
20.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	633
30.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	661
42.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1271
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	699
64.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1029
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1072
88.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	930
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	686
116.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1055
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	592
140.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1035
154.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	831
164.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	657
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	733
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	665
196.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	804
208.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	655
222.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	608
234.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	515
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	567
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	576
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	803
