onset	duration	trial_type	rating_par
1.006	5	att_neut	n/a
7.013	3	rating_par	-0.931
15.012	5	att_neg	n/a
21.003	3	rating_par	0.069
29.003	5	att_neg	n/a
36.006	3	rating_par	1.069
41.002	5	suppr_neg	n/a
48.005	3	rating_par	-0.931
53.017	5	suppr_neg	n/a
61.016	3	rating_par	0.069
69.015	5	att_neg	n/a
76.002	3	rating_par	2.069
83.005	5	suppr_neg	n/a
89.013	3	junk_rating	n/a
100.016	5	att_neut	n/a
106.007	3	rating_par	-0.931
111.002	5	att_neut	n/a
117.010	3	rating_par	-0.931
121.010	5	suppr_neg	n/a
127.001	3	rating_par	0.069
139.016	5	att_neg	n/a
146.003	3	rating_par	2.069
150.003	5	att_neut	n/a
157.006	3	rating_par	-0.931
163.014	5	suppr_neg	n/a
171.013	3	rating_par	0.069
176.008	5	att_neut	n/a
183.012	3	rating_par	-0.931
188.007	5	att_neut	n/a
196.006	3	rating_par	-0.931
201.001	5	att_neg	n/a
208.005	3	rating_par	2.069
212.005	5	att_neut	n/a
219.008	3	rating_par	-0.931
225.016	5	att_neg	n/a
233.015	3	rating_par	1.069
240.002	5	att_neut	n/a
247.005	3	rating_par	-0.931
252.017	5	suppr_neg	n/a
259.004	3	rating_par	0.069
263.003	5	att_neg	n/a
270.007	3	rating_par	1.069
276.015	5	att_neg	n/a
285.009	3	rating_par	1.069
292.013	5	att_neut	n/a
301.008	3	rating_par	-0.931
307.015	5	suppr_neg	n/a
314.002	3	rating_par	-0.931
319.014	5	suppr_neg	n/a
325.005	3	rating_par	0.069
332.009	5	suppr_neg	n/a
339.012	3	rating_par	-0.931
344.007	5	suppr_neg	n/a
351.011	3	rating_par	-0.931
355.011	5	att_neg	n/a
361.002	3	rating_par	1.069
365.018	5	att_neut	n/a
373.017	3	rating_par	-0.931
381.016	5	att_neg	n/a
387.007	3	rating_par	1.069
