name	type	units	reference	target_muscle	group	signal_electrode
EMG1	EMG	V	R1	forearm flexors	Grid1	E1
EMG2	EMG	V	R1	forearm flexors	Grid1	E2
EMG3	EMG	V	R1	forearm flexors	Grid1	E3
EMG4	EMG	V	R1	forearm flexors	Grid1	E4
EMG5	EMG	V	R1	forearm flexors	Grid1	E5
EMG6	EMG	V	R1	forearm flexors	Grid1	E6
EMG7	EMG	V	R1	forearm flexors	Grid1	E7
EMG8	EMG	V	R1	forearm flexors	Grid1	E8
EMG9	EMG	V	R1	forearm flexors	Grid1	E9
EMG10	EMG	V	R1	forearm flexors	Grid1	E10
EMG11	EMG	V	R1	forearm flexors	Grid1	E11
EMG12	EMG	V	R1	forearm flexors	Grid1	E12
EMG13	EMG	V	R1	forearm flexors	Grid1	E13
EMG14	EMG	V	R1	forearm flexors	Grid1	E14
EMG15	EMG	V	R1	forearm flexors	Grid1	E15
EMG16	EMG	V	R1	forearm flexors	Grid1	E16
EMG17	EMG	V	R1	forearm flexors	Grid1	E17
EMG18	EMG	V	R1	forearm flexors	Grid1	E18
EMG19	EMG	V	R1	forearm flexors	Grid1	E19
EMG20	EMG	V	R1	forearm flexors	Grid1	E20
EMG21	EMG	V	R1	forearm flexors	Grid1	E21
EMG22	EMG	V	R1	forearm flexors	Grid1	E22
EMG23	EMG	V	R1	forearm flexors	Grid1	E23
EMG24	EMG	V	R1	forearm flexors	Grid1	E24
EMG25	EMG	V	R1	forearm flexors	Grid1	E25
EMG26	EMG	V	R1	forearm flexors	Grid1	E26
EMG27	EMG	V	R1	forearm flexors	Grid1	E27
EMG28	EMG	V	R1	forearm flexors	Grid1	E28
EMG29	EMG	V	R1	forearm flexors	Grid1	E29
EMG30	EMG	V	R1	forearm flexors	Grid1	E30
EMG31	EMG	V	R1	forearm flexors	Grid1	E31
EMG32	EMG	V	R1	forearm flexors	Grid1	E32
EMG33	EMG	V	R1	forearm flexors	Grid1	E33
EMG34	EMG	V	R1	forearm flexors	Grid1	E34
EMG35	EMG	V	R1	forearm flexors	Grid1	E35
EMG36	EMG	V	R1	forearm flexors	Grid1	E36
EMG37	EMG	V	R1	forearm flexors	Grid1	E37
EMG38	EMG	V	R1	forearm flexors	Grid1	E38
EMG39	EMG	V	R1	forearm flexors	Grid1	E39
EMG40	EMG	V	R1	forearm flexors	Grid1	E40
EMG41	EMG	V	R1	forearm flexors	Grid1	E41
EMG42	EMG	V	R1	forearm flexors	Grid1	E42
EMG43	EMG	V	R1	forearm flexors	Grid1	E43
EMG44	EMG	V	R1	forearm flexors	Grid1	E44
EMG45	EMG	V	R1	forearm flexors	Grid1	E45
EMG46	EMG	V	R1	forearm flexors	Grid1	E46
EMG47	EMG	V	R1	forearm flexors	Grid1	E47
EMG48	EMG	V	R1	forearm flexors	Grid1	E48
EMG49	EMG	V	R1	forearm flexors	Grid1	E49
EMG50	EMG	V	R1	forearm flexors	Grid1	E50
EMG51	EMG	V	R1	forearm flexors	Grid1	E51
EMG52	EMG	V	R1	forearm flexors	Grid1	E52
EMG53	EMG	V	R1	forearm flexors	Grid1	E53
EMG54	EMG	V	R1	forearm flexors	Grid1	E54
EMG55	EMG	V	R1	forearm flexors	Grid1	E55
EMG56	EMG	V	R1	forearm flexors	Grid1	E56
EMG57	EMG	V	R1	forearm flexors	Grid1	E57
EMG58	EMG	V	R1	forearm flexors	Grid1	E58
EMG59	EMG	V	R1	forearm flexors	Grid1	E59
EMG60	EMG	V	R1	forearm flexors	Grid1	E60
EMG61	EMG	V	R1	forearm flexors	Grid1	E61
EMG62	EMG	V	R1	forearm flexors	Grid1	E62
EMG63	EMG	V	R1	forearm flexors	Grid1	E63
EMG64	EMG	V	R1	forearm flexors	Grid1	E64
EMG65	EMG	V	R2	forearm extensors	Grid2	E1
EMG66	EMG	V	R2	forearm extensors	Grid2	E2
EMG67	EMG	V	R2	forearm extensors	Grid2	E3
EMG68	EMG	V	R2	forearm extensors	Grid2	E4
EMG69	EMG	V	R2	forearm extensors	Grid2	E5
EMG70	EMG	V	R2	forearm extensors	Grid2	E6
EMG71	EMG	V	R2	forearm extensors	Grid2	E7
EMG72	EMG	V	R2	forearm extensors	Grid2	E8
EMG73	EMG	V	R2	forearm extensors	Grid2	E9
EMG74	EMG	V	R2	forearm extensors	Grid2	E10
EMG75	EMG	V	R2	forearm extensors	Grid2	E11
EMG76	EMG	V	R2	forearm extensors	Grid2	E12
EMG77	EMG	V	R2	forearm extensors	Grid2	E13
EMG78	EMG	V	R2	forearm extensors	Grid2	E14
EMG79	EMG	V	R2	forearm extensors	Grid2	E15
EMG80	EMG	V	R2	forearm extensors	Grid2	E16
EMG81	EMG	V	R2	forearm extensors	Grid2	E17
EMG82	EMG	V	R2	forearm extensors	Grid2	E18
EMG83	EMG	V	R2	forearm extensors	Grid2	E19
EMG84	EMG	V	R2	forearm extensors	Grid2	E20
EMG85	EMG	V	R2	forearm extensors	Grid2	E21
EMG86	EMG	V	R2	forearm extensors	Grid2	E22
EMG87	EMG	V	R2	forearm extensors	Grid2	E23
EMG88	EMG	V	R2	forearm extensors	Grid2	E24
EMG89	EMG	V	R2	forearm extensors	Grid2	E25
EMG90	EMG	V	R2	forearm extensors	Grid2	E26
EMG91	EMG	V	R2	forearm extensors	Grid2	E27
EMG92	EMG	V	R2	forearm extensors	Grid2	E28
EMG93	EMG	V	R2	forearm extensors	Grid2	E29
EMG94	EMG	V	R2	forearm extensors	Grid2	E30
EMG95	EMG	V	R2	forearm extensors	Grid2	E31
