name	x	y	z	coordinate_system	group
EMG0	0	50	10	left-forearm	left-wristband
EMG1	5	30	10	left-forearm	left-wristband
EMG2	20	10	10	left-forearm	left-wristband
EMG3	30	0	10	left-forearm	left-wristband
EMG4	40	5	10	left-forearm	left-wristband
EMG5	50	10	10	left-forearm	left-wristband
EMG6	70	20	10	left-forearm	left-wristband
EMG7	90	30	10	left-forearm	left-wristband
EMG8	100	40	10	left-forearm	left-wristband
EMG9	90	60	10	left-forearm	left-wristband
EMG10	80	80	10	left-forearm	left-wristband
EMG11	70	100	10	left-forearm	left-wristband
EMG12	60	100	10	left-forearm	left-wristband
EMG13	50	100	10	left-forearm	left-wristband
EMG14	40	100	10	left-forearm	left-wristband
EMG15	20	90	10	left-forearm	left-wristband
EMG16	100	50	10	right-forearm	right-wristband
EMG17	95	30	10	right-forearm	right-wristband
EMG18	80	10	10	right-forearm	right-wristband
EMG19	70	0	10	right-forearm	right-wristband
EMG20	60	5	10	right-forearm	right-wristband
EMG21	50	10	10	right-forearm	right-wristband
EMG22	30	20	10	right-forearm	right-wristband
EMG23	10	30	10	right-forearm	right-wristband
EMG24	0	40	10	right-forearm	right-wristband
EMG25	10	60	10	right-forearm	right-wristband
EMG26	20	80	10	right-forearm	right-wristband
EMG27	30	100	10	right-forearm	right-wristband
EMG28	50	100	10	right-forearm	right-wristband
EMG29	70	100	10	right-forearm	right-wristband
EMG30	80	100	10	right-forearm	right-wristband
EMG31	80	90	10	right-forearm	right-wristband
