name	x	y	z	coordinate_system	group
EMG0	0	50	10	leftForearm	left
EMG1	5	30	10	leftForearm	left
EMG2	20	10	10	leftForearm	left
EMG3	30	0	10	leftForearm	left
EMG4	40	5	10	leftForearm	left
EMG5	50	10	10	leftForearm	left
EMG6	70	20	10	leftForearm	left
EMG7	90	30	10	leftForearm	left
EMG8	100	40	10	leftForearm	left
EMG9	90	60	10	leftForearm	left
EMG10	80	80	10	leftForearm	left
EMG11	70	100	10	leftForearm	left
EMG12	60	100	10	leftForearm	left
EMG13	50	100	10	leftForearm	left
EMG14	40	100	10	leftForearm	left
EMG15	20	90	10	leftForearm	left
EMG16	100	50	10	rightForearm	right
EMG17	95	30	10	rightForearm	right
EMG18	80	10	10	rightForearm	right
EMG19	70	0	10	rightForearm	right
EMG20	60	5	10	rightForearm	right
EMG21	50	10	10	rightForearm	right
EMG22	30	20	10	rightForearm	right
EMG23	10	30	10	rightForearm	right
EMG24	0	40	10	rightForearm	right
EMG25	10	60	10	rightForearm	right
EMG26	20	80	10	rightForearm	right
EMG27	30	100	10	rightForearm	right
EMG28	50	100	10	rightForearm	right
EMG29	70	100	10	rightForearm	right
EMG30	80	100	10	rightForearm	right
EMG31	80	90	10	rightForearm	right
