onset	duration	weight	trial_type
24.3065	1	1.0	Correct_Task
25.9465	1	1.0	Correct_Task
27.5865	1	1.0	No_Response_Task
29.2265	1	1.0	Correct_Task
30.8665	1	1.0	Correct_Task
32.5064	1	1.0	No_Response_Task
34.1464	1	1.0	Correct_Task
35.7864	1	1.0	Correct_Task
37.4264	1	1.0	Correct_Task
39.0664	1	1.0	Incorrect_Task
56.973	1	1.0	Response_Control
58.613	1	1.0	Response_Control
60.253	1	1.0	Response_Control
61.893	1	1.0	Response_Control
63.533	1	1.0	Response_Control
65.173	1	1.0	No_Response_Control
66.813	1	1.0	Response_Control
68.4529	1	1.0	Response_Control
70.0929	1	1.0	Response_Control
71.7329	1	1.0	No_Response_Control
89.6395	1	1.0	Correct_Task
91.2795	1	1.0	Correct_Task
92.9195	1	1.0	Correct_Task
94.5595	1	1.0	Correct_Task
96.1995	1	1.0	Correct_Task
97.8395	1	1.0	Correct_Task
99.4795	1	1.0	No_Response_Task
101.1195	1	1.0	Incorrect_Task
102.7594	1	1.0	Incorrect_Task
104.3994	1	1.0	Incorrect_Task
122.306	1	1.0	Response_Control
123.946	1	1.0	No_Response_Control
125.586	1	1.0	Response_Control
127.226	1	1.0	Response_Control
128.866	1	1.0	Response_Control
130.506	1	1.0	No_Response_Control
132.146	1	1.0	Response_Control
133.786	1	1.0	Response_Control
135.426	1	1.0	Response_Control
137.066	1	1.0	No_Response_Control
154.9725	1	1.0	Correct_Task
156.6125	1	1.0	Correct_Task
158.2525	1	1.0	Correct_Task
159.8925	1	1.0	Correct_Task
161.5325	1	1.0	Correct_Task
163.1725	1	1.0	Correct_Task
164.8125	1	1.0	Correct_Task
166.4525	1	1.0	Correct_Task
168.0925	1	1.0	Correct_Task
169.7325	1	1.0	Incorrect_Task
187.6391	1	1.0	Response_Control
189.279	1	1.0	No_Response_Control
190.919	1	1.0	Response_Control
192.559	1	1.0	Response_Control
194.199	1	1.0	No_Response_Control
195.839	1	1.0	Response_Control
197.479	1	1.0	Response_Control
199.119	1	1.0	No_Response_Control
200.759	1	1.0	Response_Control
202.399	1	1.0	No_Response_Control
220.3056	1	1.0	Incorrect_Task
221.9456	1	1.0	Correct_Task
223.5856	1	1.0	Correct_Task
225.2255	1	1.0	Correct_Task
226.8655	1	1.0	Incorrect_Task
228.5055	1	1.0	Correct_Task
230.1455	1	1.0	Correct_Task
231.7855	1	1.0	Correct_Task
233.4255	1	1.0	No_Response_Task
235.0655	1	1.0	Correct_Task
252.9721	1	1.0	Response_Control
254.6121	1	1.0	Response_Control
256.2521	1	1.0	Response_Control
257.8921	1	1.0	No_Response_Control
259.532	1	1.0	Response_Control
261.172	1	1.0	Response_Control
262.812	1	1.0	Response_Control
264.452	1	1.0	No_Response_Control
266.092	1	1.0	Response_Control
267.732	1	1.0	No_Response_Control
285.6386	1	1.0	Incorrect_Task
287.2786	1	1.0	Incorrect_Task
288.9186	1	1.0	Correct_Task
290.5586	1	1.0	Incorrect_Task
292.1986	1	1.0	No_Response_Task
293.8386	1	1.0	Correct_Task
295.4785	1	1.0	Incorrect_Task
297.1185	1	1.0	Correct_Task
298.7585	1	1.0	Correct_Task
300.3985	1	1.0	Correct_Task
318.3051	1	1.0	Response_Control
319.9451	1	1.0	No_Response_Control
321.5851	1	1.0	Response_Control
323.2251	1	1.0	Response_Control
324.8651	1	1.0	Response_Control
326.5051	1	1.0	Response_Control
328.1451	1	1.0	Response_Control
329.7851	1	1.0	Response_Control
331.4251	1	1.0	Response_Control
333.065	1	1.0	No_Response_Control
350.9716	1	1.0	Incorrect_Task
352.6116	1	1.0	Correct_Task
354.2516	1	1.0	Correct_Task
355.8916	1	1.0	Correct_Task
357.5316	1	1.0	No_Response_Task
359.1716	1	1.0	Correct_Task
360.8116	1	1.0	Correct_Task
362.4516	1	1.0	Correct_Task
364.0916	1	1.0	Correct_Task
365.7316	1	1.0	No_Response_Task
383.6381	1	1.0	No_Response_Control
385.2781	1	1.0	Response_Control
386.9181	1	1.0	Response_Control
388.5581	1	1.0	Response_Control
390.1981	1	1.0	No_Response_Control
391.8381	1	1.0	Response_Control
393.4781	1	1.0	Response_Control
395.1181	1	1.0	Response_Control
396.7581	1	1.0	No_Response_Control
398.3981	1	1.0	Response_Control
416.3047	1	1.0	Correct_Task
417.9447	1	1.0	Incorrect_Task
419.5846	1	1.0	Correct_Task
421.2246	1	1.0	Incorrect_Task
422.8646	1	1.0	Incorrect_Task
424.5046	1	1.0	Incorrect_Task
426.1446	1	1.0	No_Response_Task
427.7846	1	1.0	Correct_Task
429.4246	1	1.0	Correct_Task
431.0646	1	1.0	Correct_Task
448.9712	1	1.0	Response_Control
450.6112	1	1.0	Response_Control
452.2512	1	1.0	No_Response_Control
453.8911	1	1.0	Response_Control
455.5311	1	1.0	Response_Control
457.1711	1	1.0	Response_Control
458.8111	1	1.0	No_Response_Control
460.4511	1	1.0	Response_Control
462.0911	1	1.0	Response_Control
463.7311	1	1.0	Response_Control
481.6377	1	1.0	Correct_Task
483.2777	1	1.0	Correct_Task
484.9177	1	1.0	Correct_Task
486.5577	1	1.0	Correct_Task
488.1977	1	1.0	Correct_Task
489.8376	1	1.0	Correct_Task
491.4776	1	1.0	Correct_Task
493.1176	1	1.0	Correct_Task
494.7576	1	1.0	Correct_Task
496.3976	1	1.0	Correct_Task
514.3042	1	1.0	Response_Control
515.9442	1	1.0	Response_Control
517.5842	1	1.0	Response_Control
519.2242	1	1.0	Response_Control
520.8642	1	1.0	Response_Control
522.5042	1	1.0	No_Response_Control
524.1442	1	1.0	Response_Control
525.7841	1	1.0	Response_Control
527.4241	1	1.0	Response_Control
529.0641	1	1.0	No_Response_Control
