onset	duration	trial_type	response_time	success
0.0	0.5	cue_onset	n/a	n/a
0.52	1.2	reach	0.52	true
2.0	0.5	cue_onset	n/a	n/a
2.48	1.1	reach	0.48	true
4.0	0.5	cue_onset	n/a	n/a
4.65	1.3	reach	0.65	false
6.0	0.5	cue_onset	n/a	n/a
6.55	1.0	reach	0.55	true
8.0	0.5	cue_onset	n/a	n/a
8.51	1.2	reach	0.51	true
10.0	0.5	cue_onset	n/a	n/a
10.60	1.1	reach	0.60	true
12.0	0.5	cue_onset	n/a	n/a
12.58	1.4	reach	0.58	true
14.0	0.5	cue_onset	n/a	n/a
14.72	1.2	reach	0.72	false
16.0	0.5	cue_onset	n/a	n/a
16.49	1.0	reach	0.49	true
18.0	0.5	cue_onset	n/a	n/a
18.53	1.1	reach	0.53	true
