name	description	link to full data	maintained by	datatypes	suffixes
eeg_matchingpennies	Offline data of BCI experiment decoding left vs. right hand movement. BrainVision data format (.eeg, .vhdr, .vmrk)	[link](https://doi.org/10.17605/OSF.IO/CJ2DR)	[@sappelhoff](https://github.com/sappelhoff)	eeg	channels, eeg, events
eeg_rishikesh	Mind wandering experiment. EEG data in Biosemi (.bdf) format	[link](https://openneuro.org/datasets/ds001787)	[@arnodelorme](https://github.com/arnodelorme)	eeg	channels, eeg, events
eeg_face13	Deconstructing the early visual electrocortical response to face and house stimuli. EDF format		[@andesha](https://github.com/andesha)	eeg	channels, coordsystem, eeg, electrodes, events
eeg_ds003645s_hed_demo	Shows usage of Hierarchical Event Descriptor (HED) in .tsv files	[link](https://openneuro.org/datasets/ds003645)	[@VisLab](https://github.com/VisLab)	anat, beh, eeg, micr, motion	KSSSleep, SPIM, beh, channels, coordsystem, defacemask, eeg, electrodes, events, motion, photo, samples, scans
eeg_ds003645s_hed_library	HED annotation using HED library vocabularies (schema).	[link](https://openneuro.org/datasets/ds003645)	[@VisLab](https://github.com/VisLab)	eeg	channels, eeg, events
eeg_cbm	Rest EEG. European Data Format (.edf)		[@cpernet](https://github.com/cpernet)	eeg	channels, eeg, events, scans
ieeg_filtered_speech	recordings of three seizures		[@choldgraf](https://github.com/choldgraf)	ieeg	channels, coordsystem, electrodes, events, ieeg, photo
ieeg_motorMiller2007	Cue-based hand & tongue movement data		[@dorahermes](https://github.com/dorahermes)	ieeg	channels, coordsystem, electrodes, events, ieeg
ieeg_visual	Stimulus dependence of gamma oscillations in human visual cortex		[@dorahermes](https://github.com/dorahermes)	anat, ieeg	T1w, channels, coordsystem, electrodes, events, ieeg
7t_trt		[link](https://bit.ly/2H0Z6Qt)		anat, fmap, func	T1map, T1w, bold, magnitude1, magnitude2, phasediff, physio, scans, sessions
ds001	single task, multiple runs	[link](https://openneuro.org/datasets/ds000001/versions/00006)		anat, func	T1w, bold, events, inplaneT2
ds002	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000002/versions/00002)		anat, func	T1w, bold, events, inplaneT2
ds003	single task, single run	[link](https://openneuro.org/datasets/ds000003/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds005	single task, multiple runs	[link](https://openneuro.org/datasets/ds000005/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds006	single task, multiple sessions, multiple runs	[link](https://openneuro.org/datasets/ds000006/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds007	single task, multiple runs	[link](https://openneuro.org/datasets/ds000007/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds008	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000008/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds009	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000009/versions/00002)		anat, func	T1w, bold, events, inplaneT2, scans
ds011	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000011/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds051	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000051/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds052	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000052/versions/00001)		anat, func	T1w, bold, events, inplaneT2
ds101	single task, multiple runs	[link](https://openneuro.org/datasets/ds000101/versions/00004)		anat, func	T1w, bold, events
ds102	single task, multiple runs	[link](https://openneuro.org/datasets/ds000102/versions/00001)		anat, func	T1w, bold, events
ds105	single task, multiple runs	[link](https://openneuro.org/datasets/ds000105/versions/00001)		anat, func	T1w, bold, events
ds107	single task, multiple runs	[link](https://openneuro.org/datasets/ds000107/versions/00001)		anat, func	T1w, bold, events
ds108	single task, multiple runs	[link](https://openneuro.org/datasets/ds000108/versions/00002)		anat, func	T1w, bold, events
ds109	multiple tasks, multiple runs	[link](https://openneuro.org/datasets/ds000109/versions/00001)		anat, func	T1w, bold, events
ds110	single task, multiple runs	[link](https://openneuro.org/datasets/ds000110/versions/00001)		anat, func	T1w, bold, events, inplaneT2
