onset	duration	trial_type	response_time
1.3141333333333334	3.5164666666666666	SGHF	2.3114
7.131433333333333	3.371	SGHF	2.128967
12.8032	2.4493333333333333	PGHF	n/a
19.2123	3.5135333333333333	SGLF	2.312467
25.0267	3.4449	SGLF	2.1803
30.772633333333334	3.5614333333333333	PGHF	2.326733
36.7325	2.6149333333333334	PGLF	n/a
42.0626	3.4060666666666666	SGHF	2.7394
47.76943333333333	3.1717666666666667	PGLF	2.275533
53.81643333333333	3.4549	SGLF	2.279567
59.58316666666666	3.1491333333333333	SGLF	1.769467
65.38316666666666	2.887	SGLF	2.488667
71.3092	2.9169666666666666	PGLF	1.978967
77.0135	2.9090333333333333	SGHF	2.685833
82.7299	2.8436666666666667	PGLF	2.9397
88.65156666666666	2.903833333333333	SGHF	2.777133
94.5501	2.9079	PGLF	2.6977
100.3204	2.9059	SGHF	2.681767
106.07923333333333	2.9069333333333334	PGLF	2.636233
111.8532	2.9069	SGHF	2.6687
117.6253	2.9059	PGLF	2.7294
123.3853	2.9079	SGHF	2.7705
129.1558	2.9059	PGLF	2.8009
135.0393	2.9059	SGHF	2.9174
140.7993	2.9069	PGLF	2.8096
146.7793	2.9069	SGHF	2.8315
152.67709999999998	2.9069	SGLF	2.600367
158.62179999999998	2.9079	PGLF	2.7938
164.42639999999998	2.9069	SGLF	2.917033
170.1359	2.9059	PGHF	2.8008
175.9084	2.9069	SGLF	2.7301
181.71393333333333	2.9079	PGLF	2.695
187.4925	2.9069	SGLF	2.8631
193.3853	2.9079	PGHF	2.8397
199.1558	2.9059	SGLF	2.8009
204.9325	2.9079	PGHF	2.835367
210.74926666666667	2.9059	SGLF	2.903533
216.5125	2.9079	SGHF	2.971267
222.28341666666666	2.9069	SGLF	2.858083
228.01639999999998	2.9079	PGHF	2.800967
233.7468	2.9059	PGLF	2.8962
239.5289	2.9079	SGLF	2.8197
245.3306	2.9069	SGHF	2.9332
251.3486	2.9079	PGLF	2.8057
257.0488	2.9059	SGLF	2.9068
263.0336	2.9079	PGLF	2.8559
268.86386666666665	2.9059	SGHF	2.850133
274.6591333333333	2.9069	PGLF	2.833367
280.606	2.9059	PGHF	2.8497
286.3868	2.9079	PGHF	2.7305
292.0535	2.9069	SGLF	2.8707
297.8785	2.9079	PGHF	2.8768
303.6591	2.9059	SGLF	2.8659
309.4395	2.9079	PGLF	2.8731
315.2289	2.9069	SGLF	2.8774
321.0423	2.9079	PGLF	2.8264
326.8504	2.9059	SGLF	2.9052
332.6591	2.9079	PGHF	2.8982
338.4888	2.9059	PGLF	2.8978
344.2925	2.9079	SGHF	2.9069
350.1189	2.9059	PGLF	2.8271
355.9015	2.9079	PGHF	2.9051
361.7139	2.9059	PGHF	2.8572
367.5028	2.9079	SGLF	2.8631
373.2834	2.9059	PGHF	2.9165
379.0888	2.9079	SGLF	2.8007
384.8206	2.9059	PGHF	2.8328
390.606	2.9079	SGLF	2.8335
396.3853	2.9059	PGHF	2.8703
402.163	2.9079	SGLF	2.8717
407.95	2.9059	SGHF	2.8706
413.7543	2.9079	PGLF	2.833
419.5288	2.9059	PGHF	2.8198
425.3306	2.9079	SGLF	2.8324
431.1449	2.9059	SGHF	2.8344
436.9325	2.9079	PGLF	2.8231
442.7299	2.9059	PGHF	2.8274
448.4888	2.9079	SGLF	2.8668
454.2925	2.9059	SGHF	2.9069
460.0888	2.9079	PGHF	2.8285
465.8951	2.9059	SGLF	2.8605
471.6591	2.9079	PGHF	2.8246
477.4325	2.9059	PGHF	2.8313
483.2535	2.9079	SGLF	2.8353
489.0462	2.9059	SGHF	2.8325
494.8173	2.9079	PGHF	2.8333
500.606	2.9059	SGLF	2.8335
506.3556	2.9079	PGLF	2.8339
512.1449	2.9059	SGHF	2.8344
517.9325	2.9079	PGLF	2.8231
523.6888	2.9059	SGHF	2.8685
529.4395	2.9079	SGLF	2.8731
535.2289	2.9069	PGLF	2.8774
541.0423	2.9079	PGHF	2.8264
546.8504	2.9059	SGLF	2.9052
552.6591	2.9079	PGHF	2.8982
558.4888	2.9059	SGLF	2.8668
564.2925	2.9079	SGHF	2.9069
570.0888	2.9059	PGHF	2.8285
575.8951	2.9079	SGLF	2.7434
581.7139	2.9059	SGHF	2.8291
587.5028	2.9079	PGLF	2.8528
593.2834	2.9059	PGHF	2.9165
599.0888	2.9079	SGLF	2.8679
604.8638666666667	2.9059	SGHF	2.891733
610.6591	2.9079	PGLF	2.8982
616.44	2.9059	PGHF	2.8156
622.2155	2.9079	SGLF	2.8192
627.9325	2.9059	SGHF	2.8231
633.7299	2.9079	PGLF	2.8574
639.5288	2.9059	PGHF	2.8198
645.3306	2.9079	SGLF	2.8324
651.0888	2.9059	SGHF	2.8679
656.8504	2.9079	PGLF	2.8002
662.6395	2.9059	PGHF	2.8
668.4551	2.9079	SGLF	2.8087
674.2449	2.9059	SGHF	2.8189
680.0535	2.9079	PGLF	2.836
685.8755	2.9059	PGHF	2.8801
691.6591	2.9079	SGLF	2.8246
697.4325	2.9059	SGHF	2.8313
703.2535	2.9079	PGLF	2.8353
709.0423	2.9059	PGHF	2.8364
714.8638666666667	2.9079	SGLF	2.786733
720.6253	2.9059	PGHF	2.8142
726.44	2.9079	SGLF	2.8238
732.2289	2.9059	SGHF	2.8058
738.0163999999999	2.9079	PGLF	2.8042
743.7543	2.9059	SGHF	2.833
749.5289	2.9079	PGLF	2.8197
755.2289	2.9059	PGHF	2.8058
761.0163999999999	2.9079	SGLF	2.833
766.8375	2.9059	SGHF	2.8131
772.6253	2.9079	PGHF	2.8142
778.411	2.9059	PGHF	2.835
784.1504	2.9079	SGLF	2.8436
789.9205	2.9059	SGHF	2.8351
795.7048	2.9079	PGHF	2.8264
801.4888	2.9059	PGHF	2.8238
807.2289	2.9079	SGLF	2.8058
813.0163999999999	2.9059	SGHF	2.8042
818.7543	2.9079	PGLF	2.833
824.5289	2.9059	PGHF	2.8197
830.3182	2.9079	PGHF	2.8374
836.0888	2.9059	SGLF	2.8437
841.8504	2.9079	SGHF	2.8333
847.6591	2.9059	PGHF	2.8246
853.4325	2.9079	PGHF	2.8313
859.2289	2.9059	SGLF	2.8058
865.0163999999999	2.9079	SGHF	2.833
870.7543	2.9059	PGLF	2.833
876.543	2.9079	PGHF	2.833
882.3182	2.9059	PGHF	2.8374
888.1063	2.9079	SGLF	2.8262
893.8895	2.9059	SGHF	2.8245
899.6591	2.9079	PGHF	2.8246
905.4325	2.9059	PGHF	2.8313
911.2289	2.9079	SGLF	2.8058
917.0163999999999	2.9059	SGHF	2.833
922.7543	2.9079	PGLF	2.833
928.5289	2.9059	PGHF	2.8267
934.3182	2.9079	SGLF	2.8812
940.0888	2.9059	PGHF	2.8285
945.8755	2.9079	SGLF	2.8293
951.6591	2.9059	PGHF	2.8246
957.4325	2.9079	SGLF	2.8313
963.2289	2.9059	PGHF	2.8058
969.0163999999999	2.9079	SGLF	2.833
974.7543	2.9059	SGHF	2.833
980.543	2.9079	PGLF	2.833
986.3306	2.9059	PGHF	2.825
992.0888	2.9079	SGLF	2.8354
997.8755	2.9059	SGHF	2.8801
1003.6591	2.9079	PGLF	2.8469
1009.4325	2.9059	SGHF	2.8231
1015.2289	2.9079	SGLF	2.8058
1021.0163999999999	2.9059	PGHF	2.833
1026.7543	2.9079	SGLF	2.833
1032.5312	2.9059	SGHF	2.8174
1038.3182	2.9079	PGLF	2.8374
1044.0888	2.9059	PGHF	2.8285
1049.8638666666667	2.9079	SGLF	2.840933
1055.6591	2.9059	SGHF	2.8246
1061.44	2.9079	PGHF	2.8238
1067.2289	2.9059	PGLF	2.8349
1073.0163999999999	2.9079	PGHF	2.8042
1078.7543	2.9059	SGLF	2.833
1084.543	2.9079	SGHF	2.833
1090.3306	2.9059	PGLF	2.825
1096.0888	2.9079	PGHF	2.8285
1101.975	2.9059	SGLF	2.9273
1107.8951	2.9079	SGHF	2.8605
1113.7543	2.9059	PGLF	2.833
1119.5289	2.9079	PGHF	2.8197
1125.3306	2.9059	PGHF	2.825
1131.0423	2.9079	SGLF	2.8071
1136.8375	2.9059	SGHF	2.8131
1142.6253	2.9079	PGLF	2.8142
1148.411	2.9059	PGHF	2.835
1154.2155	2.9079	PGHF	2.8192
1160.0347	2.9059	SGLF	2.844
1165.8206	2.9079	SGHF	2.83
1171.606	2.9059	PGLF	2.8335
1177.3951	2.9079	PGHF	2.8097
1183.182	2.9059	SGLF	2.7868
1188.9602	2.9079	PGHF	2.8571
1194.7543	2.9059	SGLF	2.833
1200.543	2.9079	PGHF	2.833
1206.3306	2.9059	SGLF	2.825
1212.064	2.9079	SGHF	2.8602
1217.8951	2.9059	PGLF	2.8605
1223.6888	2.9079	PGHF	2.8172
1229.475	2.9059	SGLF	2.8376
1235.2535	2.9079	SGHF	2.836
1241.0423	2.9059	PGLF	2.8265
1246.8504	2.9079	PGHF	2.8333
1252.6395	2.9059	SGLF	2.8
1258.4206	2.9079	SGHF	2.8254
1264.2155	2.9059	PGLF	2.8483
1270.0079	2.9079	PGHF	2.8127
1275.799	2.9059	SGLF	2.7883
1281.579	2.9079	SGHF	2.8298
1287.3556	2.9059	PGLF	2.8
1293.1189	2.9079	PGHF	2.8499
1298.8895	2.9059	SGLF	2.8245
1304.6591	2.9079	SGHF	2.8246
1310.4325	2.9059	PGLF	2.8231
1316.2088	2.9079	PGHF	2.8259
1321.975	2.9059	SGLF	2.7806
1327.7299	2.9079	SGHF	2.8274
1333.5125	2.9059	PGLF	2.8431
1339.306	2.9079	PGHF	2.857
1345.1059	2.9059	SGLF	2.8183
1350.8895	2.9079	SGHF	2.8245
1356.6888	2.9059	PGLF	2.8424
1362.475	2.9079	PGHF	2.7888
1368.2535	2.9059	PGHF	2.8103
1374.0423	2.9079	SGLF	2.8071
1379.8375	2.9059	PGHF	2.8131
1385.6253	2.9079	SGLF	2.8304
1391.3868	2.9059	PGLF	2.8688
1397.199	2.9079	PGHF	2.8357
1403.0163999999999	2.9059	SGLF	2.8042
1408.8079	2.9079	PGHF	2.8306
1414.591	2.9059	SGLF	2.8041
1420.3755	2.9079	PGHF	2.8293
1426.163	2.9059	SGLF	2.8369
1431.9567	2.9079	SGHF	2.8245
1437.7543	2.9059	PGLF	2.833
1443.5125	2.9079	PGHF	2.8431
1449.306	2.9059	SGLF	2.834
1455.0888	2.9079	SGHF	2.8354
1460.8755	2.9059	PGLF	2.8385
1466.6888	2.9079	PGHF	2.8424
1472.5028	2.9059	SGLF	2.8098
1478.2925	2.9079	SGHF	2.8365
1484.0888	2.9059	PGLF	2.7899
1489.8755	2.9079	PGHF	2.8293
1495.645	2.9059	SGLF	2.8387
1501.44	2.9079	SGHF	2.8238
1507.2289	2.9059	PGLF	2.8058
1513.0163999999999	2.9079	PGHF	2.8042
1518.7543	2.9059	SGLF	2.833
1524.543	2.9079	PGHF	2.8056
1530.3182	2.9059	SGLF	2.8374
1536.0888	2.9079	SGHF	2.8285
1541.8504	2.9059	PGLF	2.8333
1547.6591	2.9079	PGHF	2.8246
1553.4325	2.9059	SGLF	2.8313
1559.2289	2.9079	PGHF	2.8058
1565.0163999999999	2.9059	SGLF	2.8042
1570.799	2.9079	SGHF	2.8119
1576.5875	2.9059	PGLF	2.7885
1582.3556	2.9079	PGHF	2.8
1588.1063	2.9059	SGLF	2.8262
