index	name	volume-mm3
2	Left-Cerebral-White-Matter	237326.5
4	Left-Lateral-Ventricle	3868.0
5	Left-Inf-Lat-Vent	335.0
7	Left-Cerebellum-White-Matter	15868.0
8	Left-Cerebellum-Cortex	63503.0
10	Left-Thalamus	7499.0
11	Left-Caudate	3380.0
12	Left-Putamen	4626.0
13	Left-Pallidum	1723.0
14	3rd-Ventricle	799.0
15	4th-Ventricle	1875.0
16	Brain-Stem	12853.0
17	Left-Hippocampus	4588.0
18	Left-Amygdala	1434.0
24	CSF	1572.0
26	Left-Accumbens-area	611.0
28	Left-VentralDC	4193.0
30	Left-vessel	9.0
31	Left-choroid-plexus	491.0
41	Right-Cerebral-White-Matter	238597.8
43	Right-Lateral-Ventricle	4182.0
44	Right-Inf-Lat-Vent	377.0
46	Right-Cerebellum-White-Matter	14334.0
47	Right-Cerebellum-Cortex	63669.0
49	Right-Thalamus	7271.0
50	Right-Caudate	3466.0
51	Right-Putamen	4909.0
52	Right-Pallidum	1981.0
53	Right-Hippocampus	4209.0
54	Right-Amygdala	1533.0
58	Right-Accumbens-area	619.0
60	Right-VentralDC	4035.0
62	Right-vessel	9.0
63	Right-choroid-plexus	562.0
85	Optic-Chiasm	215.0
130	AirCavity	103031.0
165	Skull	730500.0
172	Vermis	3399.0
174	Pons	10013.0
257	CSF-ExtraCerebral	259473.0
258	Head-ExtraCerebral	2175411.0
1001	ctx-lh-bankssts	2823.4
1002	ctx-lh-caudalanteriorcingulate	1623.6
1003	ctx-lh-caudalmiddlefrontal	5955.6
1005	ctx-lh-cuneus	3068.8
1006	ctx-lh-entorhinal	2224.4
1007	ctx-lh-fusiform	10503.9
1008	ctx-lh-inferiorparietal	12690.4
1009	ctx-lh-inferiortemporal	10546.9
1010	ctx-lh-isthmuscingulate	2123.1
1011	ctx-lh-lateraloccipital	9519.2
1012	ctx-lh-lateralorbitofrontal	7009.0
1013	ctx-lh-lingual	6048.2
1014	ctx-lh-medialorbitofrontal	5206.2
1015	ctx-lh-middletemporal	11883.4
1016	ctx-lh-parahippocampal	2664.5
1017	ctx-lh-paracentral	3492.0
1018	ctx-lh-parsopercularis	4981.6
1019	ctx-lh-parsorbitalis	2254.0
1020	ctx-lh-parstriangularis	4195.1
1021	ctx-lh-pericalcarine	2281.6
1022	ctx-lh-postcentral	7550.8
1023	ctx-lh-posteriorcingulate	2955.4
1024	ctx-lh-precentral	11334.4
1025	ctx-lh-precuneus	9043.2
1026	ctx-lh-rostralanteriorcingulate	2092.8
1027	ctx-lh-rostralmiddlefrontal	16499.1
1028	ctx-lh-superiorfrontal	22486.2
1029	ctx-lh-superiorparietal	11821.4
1030	ctx-lh-superiortemporal	12908.1
1031	ctx-lh-supramarginal	11332.8
1032	ctx-lh-frontalpole	894.0
1033	ctx-lh-temporalpole	2431.1
1034	ctx-lh-transversetemporal	1224.0
1035	ctx-lh-insula	7360.0
2001	ctx-rh-bankssts	2318.5
2002	ctx-rh-caudalanteriorcingulate	2033.8
2003	ctx-rh-caudalmiddlefrontal	4866.6
2005	ctx-rh-cuneus	3727.1
2006	ctx-rh-entorhinal	1869.0
2007	ctx-rh-fusiform	9653.9
2008	ctx-rh-inferiorparietal	15732.8
2009	ctx-rh-inferiortemporal	9814.6
2010	ctx-rh-isthmuscingulate	2413.5
2011	ctx-rh-lateraloccipital	10595.9
2012	ctx-rh-lateralorbitofrontal	7422.6
2013	ctx-rh-lingual	6464.4
2014	ctx-rh-medialorbitofrontal	5573.6
2015	ctx-rh-middletemporal	12082.6
2016	ctx-rh-parahippocampal	1980.4
2017	ctx-rh-paracentral	3340.2
2018	ctx-rh-parsopercularis	3356.9
2019	ctx-rh-parsorbitalis	2734.6
2020	ctx-rh-parstriangularis	4921.9
2021	ctx-rh-pericalcarine	2879.4
2022	ctx-rh-postcentral	8108.1
2023	ctx-rh-posteriorcingulate	3009.8
2024	ctx-rh-precentral	12186.5
2025	ctx-rh-precuneus	9248.0
2026	ctx-rh-rostralanteriorcingulate	1785.8
2027	ctx-rh-rostralmiddlefrontal	16311.9
2028	ctx-rh-superiorfrontal	20617.8
2029	ctx-rh-superiorparietal	12199.8
2030	ctx-rh-superiortemporal	11752.9
2031	ctx-rh-supramarginal	9308.6
2032	ctx-rh-frontalpole	1055.4
2033	ctx-rh-temporalpole	2355.0
2034	ctx-rh-transversetemporal	1023.6
2035	ctx-rh-insula	6921.9
