	onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0	0.0	1.0	incongruent_correct	1	2	incongruent	440	n/a
1	2.5	1.0	incongruent_correct	1	2	incongruent	413	n/a
2	5.0	1.0	congruent_incorrect	0	1	congruent	417	n/a
3	7.5	1.0	congruent_correct	1	1	congruent	374	n/a
4	10.0	1.0	incongruent_correct	1	2	incongruent	371	n/a
5	12.5	1.0	incongruent_correct	1	2	incongruent	382	n/a
6	20.0	1.0	incongruent_correct	1	2	incongruent	478	n/a
7	22.5	1.0	incongruent_correct	1	2	incongruent	345	n/a
8	25.0	1.0	congruent_correct	1	1	congruent	448	n/a
9	27.5	1.0	congruent_correct	1	1	congruent	323	n/a
10	30.0	1.0	congruent_correct	1	1	congruent	440	n/a
11	32.5	1.0	congruent_correct	1	1	congruent	300	n/a
12	45.0	1.0	congruent_correct	1	1	congruent	420	n/a
13	47.5	1.0	congruent_correct	1	1	congruent	298	n/a
14	50.0	1.0	incongruent_correct	1	2	incongruent	421	n/a
15	52.5	1.0	incongruent_correct	1	2	incongruent	305	n/a
16	55.0	1.0	congruent_incorrect	0	1	congruent	399	n/a
17	57.5	1.0	incongruent_correct	1	2	incongruent	533	n/a
18	65.0	1.0	congruent_incorrect	0	1	congruent	553	n/a
19	67.5	1.0	incongruent_correct	1	2	incongruent	398	n/a
20	70.0	1.0	incongruent_correct	1	2	incongruent	442	n/a
21	72.5	1.0	incongruent_correct	1	2	incongruent	415	n/a
22	75.0	1.0	congruent_correct	1	1	congruent	484	n/a
23	77.5	1.0	congruent_correct	1	1	congruent	400	n/a
24	80.0	1.0	congruent_correct	1	1	congruent	509	n/a
25	82.5	1.0	congruent_correct	1	1	congruent	363	n/a
26	85.0	1.0	congruent_correct	1	1	congruent	383	n/a
27	87.5	1.0	incongruent_correct	1	2	incongruent	707	n/a
28	90.0	1.0	incongruent_correct	1	2	incongruent	441	n/a
29	92.5	1.0	congruent_correct	1	1	congruent	476	n/a
30	95.0	1.0	incongruent_correct	1	2	incongruent	345	n/a
31	97.5	1.0	incongruent_correct	1	2	incongruent	374	n/a
32	100.0	1.0	incongruent_correct	1	2	incongruent	307	n/a
33	102.5	1.0	incongruent_correct	1	2	incongruent	454	n/a
34	105.0	1.0	congruent_incorrect	0	1	congruent	484	n/a
35	107.5	1.0	congruent_correct	1	1	congruent	535	n/a
36	110.0	1.0	incongruent_correct	1	2	incongruent	484	n/a
37	112.5	1.0	incongruent_correct	1	2	incongruent	394	n/a
38	120.0	1.0	incongruent_correct	1	2	incongruent	449	n/a
39	122.5	1.0	congruent_correct	1	1	congruent	461	n/a
40	125.0	1.0	congruent_correct	1	1	congruent	369	n/a
41	127.5	1.0	congruent_correct	1	1	congruent	422	n/a
42	135.0	1.0	incongruent_correct	1	2	incongruent	491	n/a
43	137.5	1.0	congruent_correct	1	1	congruent	376	n/a
44	140.0	1.0	congruent_correct	1	1	congruent	381	n/a
45	142.5	1.0	incongruent_correct	1	2	incongruent	417	n/a
46	145.0	1.0	congruent_correct	1	1	congruent	471	n/a
47	147.5	1.0	incongruent_correct	1	2	incongruent	388	n/a
48	150.0	1.0	congruent_incorrect	0	1	congruent	408	n/a
49	152.5	1.0	congruent_correct	1	1	congruent	429	n/a
50	155.0	1.0	congruent_correct	1	1	congruent	377	n/a
51	157.5	1.0	incongruent_correct	1	2	incongruent	414	n/a
52	160.0	1.0	incongruent_correct	1	2	incongruent	330	n/a
53	162.5	1.0	congruent_correct	1	1	congruent	351	n/a
54	170.0	1.0	incongruent_correct	1	2	incongruent	716	n/a
55	172.5	1.0	congruent_correct	1	1	congruent	402	n/a
56	175.0	1.0	congruent_correct	1	1	congruent	397	n/a
57	177.5	1.0	incongruent_correct	1	2	incongruent	476	n/a
