onset	duration	trial_type	rating_par
1.002	5	att_neg	n/a
8.005	3	rating_par	0.267
13.017	5	att_neut	n/a
19.008	3	rating_par	-0.733
29.015	5	att_neg	n/a
37.015	3	rating_par	0.267
43.006	5	suppr_neg	n/a
49.013	3	rating_par	0.267
53.013	5	suppr_neg	n/a
60.016	3	rating_par	-0.733
65.012	5	suppr_neg	n/a
71.003	3	rating_par	-0.733
77.010	5	suppr_neg	n/a
84.014	3	rating_par	0.267
89.009	5	att_neut	n/a
95.017	3	rating_par	-0.733
99.016	5	att_neg	n/a
105.007	3	rating_par	0.267
111.015	5	att_neg	n/a
119.014	3	rating_par	1.267
127.013	5	suppr_neg	n/a
134.017	3	rating_par	0.267
141.004	5	att_neut	n/a
147.012	3	rating_par	-0.733
151.011	5	att_neg	n/a
159.010	3	rating_par	2.267
170.013	5	att_neut	n/a
177.017	3	rating_par	-0.733
183.008	5	att_neg	n/a
190.011	3	rating_par	1.267
194.011	5	att_neut	n/a
201.014	3	rating_par	-0.733
205.014	5	att_neut	n/a
212.017	3	rating_par	-0.733
217.013	5	suppr_neg	n/a
223.004	3	rating_par	-0.733
233.011	5	att_neut	n/a
241.010	3	rating_par	-0.733
248.014	5	att_neg	n/a
254.005	3	rating_par	0.267
259.017	5	suppr_neg	n/a
266.003	3	rating_par	0.267
272.011	5	att_neut	n/a
280.010	3	rating_par	-0.733
285.006	5	att_neut	n/a
292.009	3	rating_par	-0.733
297.004	5	suppr_neg	n/a
305.004	3	rating_par	0.267
309.003	5	att_neg	n/a
316.007	3	rating_par	1.267
320.006	5	suppr_neg	n/a
326.014	3	rating_par	-0.733
339.008	5	suppr_neg	n/a
347.007	3	rating_par	0.267
353.015	5	att_neg	n/a
362.010	3	rating_par	0.267
367.005	5	att_neg	n/a
375.005	3	rating_par	1.267
380.017	5	att_neut	n/a
386.008	3	rating_par	-0.733
