filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"4.0016	10.0016	OBJ	V	1	0.94154	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"12.0344	16.0344	OBJ	V	1	0.96374	LC-MISS	 1.7346	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"18.0517	24.0517	GRE	V	1	 1.0167	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"28.0517	32.0517	OBJ	NV	1	 1.1751	LC-MISS	 2.0895	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"36.051	42.051	OBJ	V	1	0.99298	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"44.0505	46.0505	GRE	V	1	 1.0227	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"48.0513	52.0513	GRE	V	1	0.93987	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"54.0521	60.0521	OBJ	V	1	0.98496	LC-MISS	 1.8373	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"62.0549	64.0549	OBJ	NV	1	 1.6718	HC-MISS	 1.4045	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"66.0509	72.0509	GRE	V	1	 0.9003	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"74.0515	76.0515	GRE	V	1	0.97856	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"78.0524	82.0524	OBJ	V	1	0.85573	LC-MISS	 1.7964	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"84.0516	86.0516	OBJ	V	1	 1.0862	LC-MISS	 1.2508	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"88.0526	90.0526	OBJ	V	1	0.93211	LC-MISS	 1.3309	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"92.0512	96.0512	OBJ	NV	1	 1.3143	LC-MISS	 1.5994	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"98.0504	104.0504	OBJ	V	1	 1.2307	LC-MISS	  1.089	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"106.0519	110.0519	OBJ	V	1	  1.133	HC-MISS	 2.6318	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"112.0519	114.0519	OBJ	V	1	  1.006	LC-MISS	 1.7805	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"116.0485	122.0485	GRE	V	1	 1.0565	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"126.0481	132.0481	OBJ	V	1	 1.1651	LC-MISS	 2.4149	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"134.0693	140.0693	GRE	V	0	 1.0497	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"142.0463	144.0463	OBJ	V	1	 1.2577	HC-MISS	 1.1325	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"146.0461	148.0461	GRE	NV	1	0.99873	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"150.0454	156.0454	OBJ	V	1	 1.1871	HC-MISS	 2.5383	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"160.0461	166.0461	OBJ	V	1	0.99928	HC-MISS	 1.7572	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"168.045	170.045	OBJ	NV	1	0.99721	LC-MISS	  1.261	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"174.0461	180.0461	GRE	V	1	 1.0415	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"182.0452	188.0452	OBJ	V	1	0.94959	LC-MISS	  2.056	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"190.0468	196.0468	OBJ	V	1	0.94758	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"198.0486	200.0486	OBJ	V	1	 1.0415	UT	UT	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"202.0459	206.0459	OBJ	V	1	0.87878	LC-MISS	 2.7609	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"208.0478	212.0478	OBJ	V	1	 1.1486	LC-HIT	 2.6439	1	1.2449"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"218.0476	224.0476	OBJ	NV	1	 1.2721	LC-MISS	 2.7819	UT	UT"
func/sub-10task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"226.0458	232.0458	GRE	V	1	0.92358	UT	UT	UT	UT"
