onset	duration	trial_type	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	1	2	 incongruent	699
10.000	2.000	congruent_correct	1	1	 congruent	423
20.000	2.000	incongruent_incorrect	0	1	 congruent	427
30.000	2.000	congruent_correct	1	2	 incongruent	479
40.000	2.000	incongruent_correct	1	1	 congruent	609
52.000	2.000	congruent_correct	1	2	 incongruent	525
64.000	2.000	congruent_correct	1	1	 congruent	423
76.000	2.000	incongruent_correct	1	2	 incongruent	490
88.000	2.000	congruent_incorrect	0	2	 incongruent	924
102.000	2.000	congruent_correct	1	1	 congruent	479
116.000	2.000	incongruent_correct	1	2	 incongruent	720
130.000	2.000	incongruent_correct	1	1	 congruent	538
144.000	2.000	congruent_correct	1	2	 incongruent	668
154.000	2.000	incongruent_correct	1	2	 incongruent	623
164.000	2.000	congruent_correct	1	1	 congruent	475
174.000	2.000	incongruent_correct	1	1	 congruent	462
184.000	2.000	congruent_correct	1	1	 congruent	379
196.000	2.000	incongruent_correct	1	1	 congruent	541
208.000	2.000	congruent_correct	1	1	 congruent	600
220.000	2.000	congruent_correct	1	2	 incongruent	411
234.000	2.000	congruent_correct	1	2	 incongruent	436
248.000	2.000	incongruent_correct	1	2	 incongruent	543
260.000	2.000	incongruent_incorrect	0	2	 incongruent	418
274.000	2.000	incongruent_correct	1	1	 congruent	524
