onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	821
10.000	2.000	congruent_correct	n/a	1	1	 congruent	657
20.000	2.000	congruent_correct	n/a	1	1	 congruent	494
30.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	544
40.000	2.000	congruent_correct	n/a	1	1	 congruent	605
52.000	2.000	incongruent_correct	n/a	1	2	 incongruent	654
64.000	2.000	congruent_correct	n/a	1	1	 congruent	490
76.000	2.000	incongruent_correct	n/a	1	2	 incongruent	484
88.000	2.000	incongruent_correct	n/a	1	2	 incongruent	544
102.000	2.000	congruent_correct	n/a	1	1	 congruent	473
116.000	2.000	incongruent_correct	n/a	1	2	 incongruent	523
130.000	2.000	congruent_correct	n/a	1	1	 congruent	430
144.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	390
154.000	2.000	incongruent_correct	n/a	1	2	 incongruent	603
164.000	2.000	congruent_correct	n/a	1	1	 congruent	486
174.000	2.000	congruent_correct	n/a	1	1	 congruent	466
184.000	2.000	congruent_correct	n/a	1	1	 congruent	429
196.000	2.000	congruent_correct	n/a	1	1	 congruent	456
208.000	2.000	congruent_correct	n/a	1	1	 congruent	412
222.000	2.000	incongruent_correct	n/a	1	2	 incongruent	758
234.000	2.000	incongruent_correct	n/a	1	2	 incongruent	528
246.000	2.000	incongruent_correct	n/a	1	2	 incongruent	539
260.000	2.000	incongruent_correct	n/a	1	2	 incongruent	548
274.000	2.000	congruent_correct	n/a	1	1	 congruent	470
