onset	duration	trial_type	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	congruent_correct	n/a	1	1	congruent	450	n/a
2.5	1.0	congruent_correct	n/a	1	1	congruent	439	n/a
10.0	1.0	incongruent_correct	n/a	1	2	incongruent	572	n/a
12.5	1.0	incongruent_correct	n/a	1	2	incongruent	482	n/a
15.0	1.0	incongruent_correct	n/a	1	2	incongruent	518	n/a
17.5	1.0	incongruent_correct	n/a	1	2	incongruent	402	n/a
25.0	1.0	congruent_correct	n/a	1	1	congruent	609	n/a
27.5	1.0	congruent_correct	n/a	1	1	congruent	453	n/a
30.0	1.0	incongruent_correct	n/a	1	2	incongruent	515	n/a
32.5	1.0	congruent_correct	n/a	1	1	congruent	574	n/a
35.0	1.0	incongruent_correct	n/a	1	2	incongruent	483	n/a
37.5	1.0	congruent_correct	n/a	1	1	congruent	415	n/a
40.0	1.0	congruent_correct	n/a	1	1	congruent	461	n/a
42.5	1.0	incongruent_correct	n/a	1	2	incongruent	513	n/a
45.0	1.0	incongruent_correct	n/a	1	2	incongruent	485	n/a
47.5	1.0	incongruent_correct	n/a	1	2	incongruent	483	n/a
50.0	1.0	incongruent_correct	n/a	1	2	incongruent	502	n/a
52.5	1.0	incongruent_correct	n/a	1	2	incongruent	747	n/a
60.0	1.0	congruent_correct	n/a	1	1	congruent	570	n/a
62.5	1.0	congruent_correct	n/a	1	1	congruent	462	n/a
65.0	1.0	congruent_correct	n/a	1	1	congruent	436	n/a
67.5	1.0	congruent_correct	n/a	1	1	congruent	395	n/a
75.0	1.0	congruent_correct	n/a	1	1	congruent	541	n/a
77.5	1.0	congruent_correct	n/a	1	1	congruent	466	n/a
80.0	1.0	congruent_correct	n/a	1	1	congruent	542	n/a
82.5	1.0	incongruent_correct	n/a	1	2	incongruent	619	n/a
85.0	1.0	incongruent_correct	n/a	1	2	incongruent	495	n/a
87.5	1.0	congruent_correct	n/a	1	1	congruent	484	n/a
90.0	1.0	incongruent_correct	n/a	1	2	incongruent	521	n/a
92.5	1.0	congruent_correct	n/a	1	1	congruent	605	n/a
95.0	1.0	congruent_correct	n/a	1	1	congruent	514	n/a
97.5	1.0	incongruent_correct	n/a	1	2	incongruent	439	n/a
100.0	1.0	congruent_correct	n/a	1	1	congruent	443	n/a
102.5	1.0	incongruent_correct	n/a	1	2	incongruent	520	n/a
105.0	1.0	incongruent_correct	n/a	1	2	incongruent	491	n/a
107.5	1.0	incongruent_correct	n/a	1	2	incongruent	416	n/a
110.0	1.0	congruent_correct	n/a	1	1	congruent	349	n/a
112.5	1.0	congruent_correct	n/a	1	1	congruent	499	n/a
120.0	1.0	congruent_correct	n/a	1	1	congruent	631	n/a
122.5	1.0	congruent_correct	n/a	1	1	congruent	388	n/a
125.0	1.0	congruent_correct	n/a	1	1	congruent	432	n/a
127.5	1.0	congruent_correct	n/a	1	1	congruent	404	n/a
130.0	1.0	congruent_correct	n/a	1	1	congruent	505	n/a
132.5	1.0	incongruent_correct	n/a	1	2	incongruent	494	n/a
135.0	1.0	congruent_correct	n/a	1	1	congruent	371	n/a
137.5	1.0	incongruent_correct	n/a	1	2	incongruent	519	n/a
140.0	1.0	congruent_correct	n/a	1	1	congruent	475	n/a
142.5	1.0	incongruent_correct	n/a	1	2	incongruent	552	n/a
150.0	1.0	incongruent_correct	n/a	1	2	incongruent	534	n/a
152.5	1.0	congruent_correct	n/a	1	1	congruent	402	n/a
155.0	1.0	incongruent_correct	n/a	1	2	incongruent	527	n/a
157.5	1.0	incongruent_correct	n/a	1	2	incongruent	411	n/a
160.0	1.0	incongruent_correct	n/a	1	2	incongruent	496	n/a
162.5	1.0	incongruent_correct	n/a	1	2	incongruent	403	n/a
165.0	1.0	incongruent_correct	n/a	1	2	incongruent	425	n/a
167.5	1.0	incongruent_correct	n/a	1	2	incongruent	478	n/a
170.0	1.0	incongruent_correct	n/a	1	2	incongruent	483	n/a
172.5	1.0	incongruent_correct	n/a	1	2	incongruent	519	n/a
175.0	1.0	congruent_incorrect	n/a	0	1	congruent	540	n/a
177.5	1.0	congruent_correct	n/a	1	1	congruent	696	n/a
185.0	1.0	incongruent_correct	n/a	1	2	incongruent	711	n/a
187.5	1.0	congruent_correct	n/a	1	1	congruent	522	n/a
190.0	1.0	congruent_correct	n/a	1	1	congruent	519	n/a
192.5	1.0	incongruent_correct	n/a	1	2	incongruent	476	n/a
195.0	1.0	incongruent_correct	n/a	1	2	incongruent	505	n/a
197.5	1.0	incongruent_correct	n/a	1	2	incongruent	470	n/a
200.0	1.0	incongruent_correct	n/a	1	2	incongruent	474	n/a
202.5	1.0	congruent_correct	n/a	1	1	congruent	441	n/a
210.0	1.0	incongruent_correct	n/a	1	2	incongruent	638	n/a
212.5	1.0	incongruent_correct	n/a	1	2	incongruent	498	n/a
215.0	1.0	congruent_correct	n/a	1	1	congruent	486	n/a
217.5	1.0	incongruent_correct	n/a	1	2	incongruent	450	n/a
225.0	1.0	congruent_correct	n/a	1	1	congruent	913	n/a
227.5	1.0	congruent_correct	n/a	1	1	congruent	421	n/a
230.0	1.0	congruent_correct	n/a	1	1	congruent	482	n/a
232.5	1.0	congruent_correct	n/a	1	1	congruent	446	n/a
235.0	1.0	incongruent_correct	n/a	1	2	incongruent	483	n/a
237.5	1.0	congruent_correct	n/a	1	1	congruent	493	n/a
240.0	1.0	congruent_correct	n/a	1	1	congruent	459	n/a
242.5	1.0	incongruent_correct	n/a	1	2	incongruent	553	n/a
245.0	1.0	incongruent_correct	n/a	1	2	incongruent	557	n/a
247.5	1.0	congruent_correct	n/a	1	1	congruent	594	n/a
250.0	1.0	incongruent_correct	n/a	1	2	incongruent	496	n/a
252.5	1.0	congruent_correct	n/a	1	1	congruent	645	n/a
260.0	1.0	incongruent_correct	n/a	1	2	incongruent	553	n/a
262.5	1.0	congruent_correct	n/a	1	1	congruent	414	n/a
270.0	1.0	congruent_correct	n/a	1	1	congruent	564	n/a
272.5	1.0	congruent_correct	n/a	1	1	congruent	393	n/a
275.0	1.0	incongruent_correct	n/a	1	2	incongruent	709	n/a
277.5	1.0	congruent_correct	n/a	1	1	congruent	729	n/a
285.0	1.0	congruent_correct	n/a	1	1	congruent	608	n/a
287.5	1.0	incongruent_correct	n/a	1	2	incongruent	550	n/a
290.0	1.0	congruent_correct	n/a	1	1	congruent	626	n/a
292.5	1.0	incongruent_correct	n/a	1	2	incongruent	471	n/a
295.0	1.0	incongruent_correct	n/a	1	2	incongruent	411	n/a
297.5	1.0	incongruent_correct	n/a	1	2	incongruent	458	n/a
