name	type	units	target_muscle	placement	loc_reference	group
EMG0	emg	V	forearm muscles	[0,50,10]	left-forearm-coordsystem	left-wristband
EMG1	emg	V	forearm muscles	[5,30,10]	left-forearm-coordsystem	left-wristband
EMG2	emg	V	forearm muscles	[20,10,10]	left-forearm-coordsystem	left-wristband
EMG3	emg	V	forearm muscles	[30,0,10]	left-forearm-coordsystem	left-wristband
EMG4	emg	V	forearm muscles	[40,5,10]	left-forearm-coordsystem	left-wristband
EMG5	emg	V	forearm muscles	[50,10,10]	left-forearm-coordsystem	left-wristband
EMG6	emg	V	forearm muscles	[70,20,10]	left-forearm-coordsystem	left-wristband
EMG7	emg	V	forearm muscles	[90,30,10]	left-forearm-coordsystem	left-wristband
EMG8	emg	V	forearm muscles	[100,40,10]	left-forearm-coordsystem	left-wristband
EMG9	emg	V	forearm muscles	[90,60,10]	left-forearm-coordsystem	left-wristband
EMG10	emg	V	forearm muscles	[80,80,10]	left-forearm-coordsystem	left-wristband
EMG11	emg	V	forearm muscles	[70,100,10]	left-forearm-coordsystem	left-wristband
EMG12	emg	V	forearm muscles	[60,100,10]	left-forearm-coordsystem	left-wristband
EMG13	emg	V	forearm muscles	[50,100,10]	left-forearm-coordsystem	left-wristband
EMG14	emg	V	forearm muscles	[40,100,10]	left-forearm-coordsystem	left-wristband
EMG15	emg	V	forearm muscles	[20,90,10]	left-forearm-coordsystem	left-wristband
EMG16	emg	V	forearm muscles	[100,50,10]	right-forearm-coordsystem	right-wristband
EMG17	emg	V	forearm muscles	[95,30,10]	right-forearm-coordsystem	right-wristband
EMG18	emg	V	forearm muscles	[80,10,10]	right-forearm-coordsystem	right-wristband
EMG19	emg	V	forearm muscles	[70,0,10]	right-forearm-coordsystem	right-wristband
EMG20	emg	V	forearm muscles	[60,5,10]	right-forearm-coordsystem	right-wristband
EMG21	emg	V	forearm muscles	[50,10,10]	right-forearm-coordsystem	right-wristband
EMG22	emg	V	forearm muscles	[30,20,10]	right-forearm-coordsystem	right-wristband
EMG23	emg	V	forearm muscles	[10,30,10]	right-forearm-coordsystem	right-wristband
EMG24	emg	V	forearm muscles	[0,40,10]	right-forearm-coordsystem	right-wristband
EMG25	emg	V	forearm muscles	[10,60,10]	right-forearm-coordsystem	right-wristband
EMG26	emg	V	forearm muscles	[20,80,10]	right-forearm-coordsystem	right-wristband
EMG27	emg	V	forearm muscles	[30,100,10]	right-forearm-coordsystem	right-wristband
EMG28	emg	V	forearm muscles	[50,100,10]	right-forearm-coordsystem	right-wristband
EMG29	emg	V	forearm muscles	[70,100,10]	right-forearm-coordsystem	right-wristband
EMG30	emg	V	forearm muscles	[80,100,10]	right-forearm-coordsystem	right-wristband
EMG31	emg	V	forearm muscles	[80,90,10]	right-forearm-coordsystem	right-wristband
