onset	duration	annotation_type	channel
0.531	31.7035	eyem+musc	FP1-F7
34.1062	70.2566	eyem+musc	FP1-F7
73.1062	95.7832	eyem+musc	FP1-F7
98.4823	113.5044	eyem	FP1-F7
0.531	31.7035	eyem+musc	FP2-F8
34.1062	70.2566	eyem+musc	FP2-F8
73.1062	95.7832	eyem+musc	FP2-F8
98.4823	113.5044	eyem	FP2-F8
0.531	31.7035	eyem+musc	FP1-F3
34.1062	70.2566	eyem+musc	FP1-F3
73.1062	95.7832	eyem+musc	FP1-F3
98.4823	113.5044	eyem	FP1-F3
0.531	31.7035	eyem+musc	FP2-F4
34.1062	70.2566	eyem+musc	FP2-F4
73.1062	95.7832	eyem+musc	FP2-F4
98.4823	113.5044	eyem	FP2-F4
