onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	841
10.000	2.000	incongruent_correct	n/a	1	2	 incongruent	558
20.000	2.000	congruent_correct	n/a	1	2	 incongruent	562
30.000	2.000	congruent_correct	n/a	1	1	 congruent	685
40.000	2.000	congruent_correct	n/a	1	1	 congruent	464
52.000	2.000	incongruent_correct	n/a	1	2	 incongruent	659
64.000	2.000	incongruent_correct	n/a	1	1	 congruent	653
76.000	2.000	congruent_correct	n/a	1	1	 congruent	674
88.000	2.000	incongruent_correct	n/a	1	2	 incongruent	987
102.000	2.000	congruent_correct	n/a	1	1	 congruent	430
116.000	2.000	congruent_correct	n/a	1	1	 congruent	399
130.000	2.000	congruent_correct	n/a	1	2	 incongruent	458
140.000	2.000	congruent_correct	n/a	1	2	 incongruent	551
150.000	2.000	incongruent_correct	n/a	1	1	 congruent	1225
164.000	2.000	incongruent_correct	n/a	1	1	 congruent	738
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	621
184.000	2.000	incongruent_incorrect	n/a	0	1	 congruent	0
196.000	2.000	incongruent_correct	n/a	1	1	 congruent	677
208.000	2.000	congruent_correct	n/a	1	1	 congruent	542
220.000	2.000	congruent_correct	n/a	1	1	 congruent	561
232.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1077
246.000	2.000	congruent_correct	n/a	1	2	 incongruent	519
260.000	2.000	incongruent_correct	n/a	1	2	 incongruent	592
274.000	2.000	congruent_correct	n/a	1	2	 incongruent	611
