onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1204
10.000	2.000	incongruent_correct	n/a	1	2	 incongruent	808
20.000	2.000	incongruent_correct	n/a	1	2	 incongruent	699
32.000	2.000	congruent_correct	n/a	1	1	 congruent	567
42.000	2.000	congruent_correct	n/a	1	1	 congruent	490
52.000	2.000	incongruent_correct	n/a	1	2	 incongruent	837
64.000	2.000	congruent_correct	n/a	1	1	 congruent	592
76.000	2.000	congruent_correct	n/a	1	1	 congruent	411
88.000	2.000	incongruent_correct	n/a	1	2	 incongruent	646
102.000	2.000	congruent_correct	n/a	1	1	 congruent	463
116.000	2.000	congruent_correct	n/a	1	1	 congruent	425
130.000	2.000	incongruent_correct	n/a	1	2	 incongruent	603
144.000	2.000	incongruent_correct	n/a	1	2	 incongruent	590
154.000	2.000	congruent_correct	n/a	1	1	 congruent	401
164.000	2.000	congruent_correct	n/a	1	1	 congruent	397
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	624
184.000	2.000	congruent_correct	n/a	1	1	 congruent	493
196.000	2.000	congruent_correct	n/a	1	1	 congruent	479
208.000	2.000	congruent_correct	n/a	1	1	 congruent	377
222.000	2.000	congruent_correct	n/a	1	1	 congruent	468
236.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	382
248.000	2.000	incongruent_correct	n/a	1	2	 incongruent	769
260.000	2.000	incongruent_correct	n/a	1	2	 incongruent	699
274.000	2.000	incongruent_correct	n/a	1	2	 incongruent	597
