113	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.982433 0.185894 0.016216 -0.002463
112	-0.106600 0.046400 -0.060400 -0.186801 -0.982403 -0.003300 0.012700 -0.005700 0.999903 -0.982433 0.185894 0.016216 -0.005390
111	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.982433 0.185894 0.016216 0.994134
122	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965280 0.261096 -0.007823 -0.005696
123	-0.102000 0.063100 -0.025600 -0.282001 -0.959402 -0.004900 -0.013600 -0.001100 0.999902 -0.965280 0.261096 -0.007823 -0.004512
121	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965280 0.261096 -0.007823 1.007497
132	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.996324 0.085029 -0.009618 -0.004347
133	-0.108500 0.030200 -0.026600 -0.095196 -0.995456 -0.002500 -0.002600 -0.002300 0.999955 -0.996324 0.085029 -0.009618 -0.007999
131	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.996324 0.085029 -0.009618 0.999188
143	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.999358 0.026630 0.023855 -0.004132
142	-0.109900 0.013100 -0.062700 -0.021200 -0.999823 -0.001600 0.012300 -0.001800 0.999923 -0.999358 0.026630 0.023855 -0.008933
141	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.999358 0.026630 0.023855 0.999159
213	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.993310 0.101274 0.055456 -0.005629
212	-0.107400 0.032900 0.008000 -0.101496 -0.994759 -0.002500 0.051198 -0.007700 0.998659 -0.993310 0.101274 0.055456 -0.003204
211	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.993310 0.101274 0.055456 1.003278
222	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925678 0.149149 0.347664 -0.002338
223	-0.098900 0.040300 0.041300 -0.161803 -0.986816 -0.003700 0.343206 -0.059801 0.937415 -0.925678 0.149149 0.347664 -0.007062
221	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925678 0.149149 0.347664 1.003982
232	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.935311 -0.048388 0.350499 -0.005135
233	-0.101100 0.004400 0.040800 0.037800 -0.999009 -0.023500 0.352103 -0.008700 0.935908 -0.935311 -0.048388 0.350499 -0.005646
231	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.935311 -0.048388 0.350499 0.993060
