onset	duration	trial_type	TrialType	SSD
0.000	1.500	successful stop	1	0.340
4.875	1.500	go	0	0.000
7.125	1.500	go	0	0.000
10.250	1.500	go	0	0.000
12.875	1.500	go	0	0.000
15.000	1.500	go	0	0.000
18.250	1.500	go	0	0.000
20.625	1.500	successful stop	1	0.260
23.375	1.500	go	0	0.000
25.375	1.500	failed stop	1	0.300
28.250	1.500	go	0	0.000
31.375	1.500	go	0	0.000
33.375	1.500	go	0	0.000
37.375	1.500	go	0	0.000
40.250	1.500	go	0	0.000
44.500	1.500	successful stop	1	0.300
47.375	1.500	go	0	0.000
51.500	1.500	successful stop	1	0.300
54.750	1.500	go	0	0.000
57.000	1.500	go	0	0.000
59.500	1.500	go	0	0.000
63.375	1.500	go	0	0.000
68.000	1.500	successful stop	1	0.260
70.125	1.500	go	0	0.000
72.375	1.500	successful stop	1	0.260
76.500	1.500	go	0	0.000
78.500	1.500	go	0	0.000
80.500	1.500	go	0	0.000
83.125	1.500	go	0	0.000
86.500	1.500	go	0	0.000
89.500	1.500	go	0	0.000
93.750	1.500	failed stop	1	0.380
96.000	1.500	successful stop	1	0.300
98.375	1.500	go	0	0.000
102.500	1.500	go	0	0.000
105.250	1.500	go	0	0.000
108.000	1.500	go	0	0.000
112.500	1.500	go	0	0.000
115.000	1.500	successful stop	1	0.260
120.250	1.500	go	0	0.000
122.875	1.500	go	0	0.000
126.375	1.500	failed stop	1	0.340
128.500	1.500	go	0	0.000
131.500	1.500	go	0	0.000
133.750	1.500	go	0	0.000
136.000	1.500	go	0	0.000
138.125	1.500	go	0	0.000
140.125	1.500	failed stop	1	0.380
142.125	1.500	failed stop	1	0.380
147.000	1.500	go	0	0.000
150.125	1.500	go	0	0.000
152.125	1.500	go	0	0.000
155.250	1.500	go	0	0.000
158.750	1.500	go	0	0.000
160.875	1.500	successful stop	1	0.300
163.000	1.500	go	0	0.000
165.250	1.500	successful stop	1	0.300
170.625	1.500	go	0	0.000
173.875	1.500	go	0	0.000
179.375	1.500	go	0	0.000
181.500	1.500	failed stop	1	0.380
185.750	1.500	go	0	0.000
188.000	1.500	go	0	0.000
190.375	1.500	go	0	0.000
193.500	1.500	go	0	0.000
196.250	1.500	go	0	0.000
200.250	1.500	go	0	0.000
203.250	1.500	successful stop	1	0.260
207.750	1.500	successful stop	1	0.380
210.750	1.500	go	0	0.000
213.125	1.500	go	0	0.000
215.375	1.500	go	0	0.000
220.750	1.500	failed stop	1	0.380
222.875	1.500	go	0	0.000
225.500	1.500	go	0	0.000
227.625	1.500	go	0	0.000
230.000	1.500	go	0	0.000
233.125	1.500	go	0	0.000
236.000	1.500	go	0	0.000
239.750	1.500	successful stop	1	0.340
242.250	1.500	successful stop	1	0.380
245.125	1.500	go	0	0.000
248.750	1.500	go	0	0.000
250.750	1.500	go	0	0.000
253.500	1.500	go	0	0.000
257.125	1.500	successful stop	1	0.340
259.500	1.500	go	0	0.000
261.500	1.500	go	0	0.000
264.250	1.500	go	0	0.000
267.125	1.500	go	0	0.000
269.250	1.500	successful stop	1	0.260
271.375	1.500	go	0	0.000
274.375	1.500	go	0	0.000
278.125	1.500	go	0	0.000
280.750	1.500	failed stop	1	0.380
284.375	1.500	go	0	0.000
287.125	1.500	successful stop	1	0.340
289.125	1.500	go	0	0.000
293.125	1.500	go	0	0.000
297.375	1.500	go	0	0.000
300.250	1.500	go	0	0.000
303.000	1.500	junk	0	0.000
305.750	1.500	successful stop	1	0.340
307.750	1.500	go	0	0.000
310.125	1.500	go	0	0.000
313.375	1.500	go	0	0.000
316.500	1.500	successful stop	1	0.300
320.250	1.500	go	0	0.000
322.250	1.500	successful stop	1	0.260
327.375	1.500	go	0	0.000
329.750	1.500	go	0	0.000
332.250	1.500	go	0	0.000
334.375	1.500	go	0	0.000
337.875	1.500	failed stop	1	0.340
340.000	1.500	go	0	0.000
343.250	1.500	go	0	0.000
348.750	1.500	go	0	0.000
350.875	1.500	successful stop	1	0.300
353.375	1.500	go	0	0.000
355.750	1.500	go	0	0.000
358.125	1.500	successful stop	1	0.340
360.250	1.500	go	0	0.000
363.000	1.500	junk	0	0.000
366.625	1.500	junk	0	0.000
369.000	1.500	junk	0	0.000
371.125	1.500	junk	0	0.000
373.250	1.500	successful stop	1	0.260
376.250	1.500	junk	0	0.000
