index	name	volume-mm3
2	Left-Cerebral-White-Matter	231625.5
4	Left-Lateral-Ventricle	8872.0
5	Left-Inf-Lat-Vent	180.0
7	Left-Cerebellum-White-Matter	16102.0
8	Left-Cerebellum-Cortex	58193.0
10	Left-Thalamus	8173.0
11	Left-Caudate	3496.0
12	Left-Putamen	5639.0
13	Left-Pallidum	2063.0
14	3rd-Ventricle	553.0
15	4th-Ventricle	2177.0
16	Brain-Stem	13699.0
17	Left-Hippocampus	4416.0
18	Left-Amygdala	1478.0
24	CSF	861.0
26	Left-Accumbens-area	557.0
28	Left-VentralDC	4710.0
30	Left-vessel	47.0
31	Left-choroid-plexus	756.0
41	Right-Cerebral-White-Matter	228325.9
43	Right-Lateral-Ventricle	4637.0
44	Right-Inf-Lat-Vent	225.0
46	Right-Cerebellum-White-Matter	15500.0
47	Right-Cerebellum-Cortex	57396.0
49	Right-Thalamus	8068.0
50	Right-Caudate	3464.0
51	Right-Putamen	5322.0
52	Right-Pallidum	1968.0
53	Right-Hippocampus	4123.0
54	Right-Amygdala	1891.0
58	Right-Accumbens-area	736.0
60	Right-VentralDC	4522.0
62	Right-vessel	5.0
63	Right-choroid-plexus	725.0
85	Optic-Chiasm	275.0
130	AirCavity	97512.0
165	Skull	808314.0
172	Vermis	2921.0
174	Pons	9193.0
257	CSF-ExtraCerebral	195667.2
258	Head-ExtraCerebral	914844.0
1001	ctx-lh-bankssts	2617.5
1002	ctx-lh-caudalanteriorcingulate	1728.0
1003	ctx-lh-caudalmiddlefrontal	4580.4
1005	ctx-lh-cuneus	2769.5
1006	ctx-lh-entorhinal	2196.8
1007	ctx-lh-fusiform	11716.4
1008	ctx-lh-inferiorparietal	12760.8
1009	ctx-lh-inferiortemporal	13787.4
1010	ctx-lh-isthmuscingulate	2246.1
1011	ctx-lh-lateraloccipital	11063.6
1012	ctx-lh-lateralorbitofrontal	8576.6
1013	ctx-lh-lingual	6750.9
1014	ctx-lh-medialorbitofrontal	5279.0
1015	ctx-lh-middletemporal	11195.2
1016	ctx-lh-parahippocampal	2193.2
1017	ctx-lh-paracentral	3831.0
1018	ctx-lh-parsopercularis	3933.8
1019	ctx-lh-parsorbitalis	2770.1
1020	ctx-lh-parstriangularis	3634.4
1021	ctx-lh-pericalcarine	2366.4
1022	ctx-lh-postcentral	8957.8
1023	ctx-lh-posteriorcingulate	2537.0
1024	ctx-lh-precentral	13340.9
1025	ctx-lh-precuneus	10023.0
1026	ctx-lh-rostralanteriorcingulate	2823.4
1027	ctx-lh-rostralmiddlefrontal	14781.9
1028	ctx-lh-superiorfrontal	22560.5
1029	ctx-lh-superiorparietal	12898.5
1030	ctx-lh-superiortemporal	11869.5
1031	ctx-lh-supramarginal	9170.1
1032	ctx-lh-frontalpole	999.4
1033	ctx-lh-temporalpole	2945.4
1034	ctx-lh-transversetemporal	966.8
1035	ctx-lh-insula	6572.6
2001	ctx-rh-bankssts	2236.8
2002	ctx-rh-caudalanteriorcingulate	1943.5
2003	ctx-rh-caudalmiddlefrontal	3774.8
2005	ctx-rh-cuneus	2536.5
2006	ctx-rh-entorhinal	1776.8
2007	ctx-rh-fusiform	9867.6
2008	ctx-rh-inferiorparietal	12362.6
2009	ctx-rh-inferiortemporal	11536.9
2010	ctx-rh-isthmuscingulate	1891.8
2011	ctx-rh-lateraloccipital	10477.1
2012	ctx-rh-lateralorbitofrontal	8640.5
2013	ctx-rh-lingual	7404.0
2014	ctx-rh-medialorbitofrontal	6125.9
2015	ctx-rh-middletemporal	12958.1
2016	ctx-rh-parahippocampal	1790.4
2017	ctx-rh-paracentral	4293.8
2018	ctx-rh-parsopercularis	3229.9
2019	ctx-rh-parsorbitalis	3044.1
2020	ctx-rh-parstriangularis	3684.6
2021	ctx-rh-pericalcarine	2120.9
2022	ctx-rh-postcentral	8333.2
2023	ctx-rh-posteriorcingulate	2711.6
2024	ctx-rh-precentral	11926.6
2025	ctx-rh-precuneus	10048.6
2026	ctx-rh-rostralanteriorcingulate	2087.4
2027	ctx-rh-rostralmiddlefrontal	16095.6
2028	ctx-rh-superiorfrontal	21222.5
2029	ctx-rh-superiorparietal	12161.5
2030	ctx-rh-superiortemporal	12656.9
2031	ctx-rh-supramarginal	10899.6
2032	ctx-rh-frontalpole	1249.4
2033	ctx-rh-temporalpole	2287.1
2034	ctx-rh-transversetemporal	854.5
2035	ctx-rh-insula	5963.8
