onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	1	1	 congruent	966
10.000	2.000	incongruent_correct	n/a	1	2	 incongruent	914
20.000	2.000	congruent_correct	n/a	1	1	 congruent	797
30.000	2.000	incongruent_correct	n/a	1	2	 incongruent	873
40.000	2.000	congruent_correct	n/a	1	1	 congruent	636
52.000	2.000	incongruent_correct	n/a	1	2	 incongruent	552
64.000	2.000	incongruent_correct	n/a	1	2	 incongruent	690
76.000	2.000	congruent_correct	n/a	1	1	 congruent	542
88.000	2.000	congruent_correct	n/a	1	1	 congruent	520
102.000	2.000	congruent_correct	n/a	1	1	 congruent	410
116.000	2.000	incongruent_correct	n/a	1	2	 incongruent	562
130.000	2.000	incongruent_correct	n/a	1	2	 incongruent	605
144.000	2.000	incongruent_correct	n/a	1	2	 incongruent	592
154.000	2.000	congruent_correct	n/a	1	1	 congruent	578
164.000	2.000	congruent_correct	n/a	1	1	 congruent	550
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	546
184.000	2.000	incongruent_correct	n/a	1	2	 incongruent	542
196.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	424
208.000	2.000	congruent_correct	n/a	1	1	 congruent	499
220.000	2.000	congruent_correct	n/a	1	1	 congruent	631
232.000	2.000	congruent_correct	n/a	1	1	 congruent	473
246.000	2.000	incongruent_correct	n/a	1	2	 incongruent	571
260.000	2.000	incongruent_correct	n/a	1	2	 incongruent	581
274.000	2.000	congruent_correct	n/a	1	1	 congruent	407
