onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	1	1	 congruent	1752
10.000	2.000	congruent_correct	n/a	1	1	 congruent	677
20.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	1217
30.000	2.000	congruent_correct	n/a	1	1	 congruent	771
42.000	2.000	incongruent_correct	n/a	1	2	 incongruent	2294
52.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1425
64.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	1204
76.000	2.000	congruent_correct	n/a	1	1	 congruent	815
88.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1282
102.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1348
116.000	2.000	congruent_correct	n/a	1	1	 congruent	901
130.000	2.000	congruent_correct	n/a	1	1	 congruent	608
144.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1241
154.000	2.000	congruent_correct	n/a	1	1	 congruent	654
164.000	2.000	congruent_correct	n/a	1	1	 congruent	778
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1125
184.000	2.000	congruent_correct	n/a	1	1	 congruent	735
196.000	2.000	incongruent_correct	n/a	1	2	 incongruent	963
208.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1534
220.000	2.000	incongruent_correct	n/a	1	2	 incongruent	920
234.000	2.000	incongruent_correct	n/a	1	2	 incongruent	931
248.000	2.000	congruent_correct	n/a	1	1	 congruent	660
260.000	2.000	congruent_correct	n/a	1	1	 congruent	574
274.000	2.000	congruent_correct	n/a	1	1	 congruent	545
