name	x	y	coordinate_system	group
E1	0	0	grid1	Grid1
E2	0	8	grid1	Grid1
E3	0	16	grid1	Grid1
E4	0	24	grid1	Grid1
E5	0	32	grid1	Grid1
E6	0	40	grid1	Grid1
E7	0	48	grid1	Grid1
E8	0	56	grid1	Grid1
E9	0	64	grid1	Grid1
E10	0	72	grid1	Grid1
E11	0	80	grid1	Grid1
E12	0	88	grid1	Grid1
E13	0	96	grid1	Grid1
E14	8	96	grid1	Grid1
E15	8	88	grid1	Grid1
E16	8	80	grid1	Grid1
E17	8	72	grid1	Grid1
E18	8	64	grid1	Grid1
E19	8	56	grid1	Grid1
E20	8	48	grid1	Grid1
E21	8	40	grid1	Grid1
E22	8	32	grid1	Grid1
E23	8	24	grid1	Grid1
E24	8	16	grid1	Grid1
E25	8	8	grid1	Grid1
E26	8	0	grid1	Grid1
E27	16	0	grid1	Grid1
E28	16	8	grid1	Grid1
E29	16	16	grid1	Grid1
E30	16	24	grid1	Grid1
E31	16	32	grid1	Grid1
E32	16	40	grid1	Grid1
E33	16	48	grid1	Grid1
E34	16	56	grid1	Grid1
E35	16	64	grid1	Grid1
E36	16	72	grid1	Grid1
E37	16	80	grid1	Grid1
E38	16	88	grid1	Grid1
E39	16	96	grid1	Grid1
E40	24	96	grid1	Grid1
E41	24	88	grid1	Grid1
E42	24	80	grid1	Grid1
E43	24	72	grid1	Grid1
E44	24	64	grid1	Grid1
E45	24	56	grid1	Grid1
E46	24	48	grid1	Grid1
E47	24	40	grid1	Grid1
E48	24	32	grid1	Grid1
E49	24	24	grid1	Grid1
E50	24	16	grid1	Grid1
E51	24	8	grid1	Grid1
E52	24	0	grid1	Grid1
E53	32	0	grid1	Grid1
E54	32	8	grid1	Grid1
E55	32	16	grid1	Grid1
E56	32	24	grid1	Grid1
E57	32	32	grid1	Grid1
E58	32	40	grid1	Grid1
E59	32	48	grid1	Grid1
E60	32	56	grid1	Grid1
E61	32	64	grid1	Grid1
E62	32	72	grid1	Grid1
E63	32	80	grid1	Grid1
E64	32	88	grid1	Grid1
E65	0	0	grid2	Grid2
E66	0	8	grid2	Grid2
E67	0	16	grid2	Grid2
E68	0	24	grid2	Grid2
E69	0	32	grid2	Grid2
E70	0	40	grid2	Grid2
E71	0	48	grid2	Grid2
E72	0	56	grid2	Grid2
E73	0	64	grid2	Grid2
E74	0	72	grid2	Grid2
E75	0	80	grid2	Grid2
E76	0	88	grid2	Grid2
E77	0	96	grid2	Grid2
E78	8	96	grid2	Grid2
E79	8	88	grid2	Grid2
E80	8	80	grid2	Grid2
E81	8	72	grid2	Grid2
E82	8	64	grid2	Grid2
E83	8	56	grid2	Grid2
E84	8	48	grid2	Grid2
E85	8	40	grid2	Grid2
E86	8	32	grid2	Grid2
E87	8	24	grid2	Grid2
E88	8	16	grid2	Grid2
E89	8	8	grid2	Grid2
E90	8	0	grid2	Grid2
E91	16	0	grid2	Grid2
E92	16	8	grid2	Grid2
E93	16	16	grid2	Grid2
E94	16	24	grid2	Grid2
E95	16	32	grid2	Grid2
E96	16	40	grid2	Grid2
E97	16	48	grid2	Grid2
E98	16	56	grid2	Grid2
E99	16	64	grid2	Grid2
E100	16	72	grid2	Grid2
E101	16	80	grid2	Grid2
E102	16	88	grid2	Grid2
E103	16	96	grid2	Grid2
E104	24	96	grid2	Grid2
E105	24	88	grid2	Grid2
E106	24	80	grid2	Grid2
E107	24	72	grid2	Grid2
E108	24	64	grid2	Grid2
E109	24	56	grid2	Grid2
E110	24	48	grid2	Grid2
E111	24	40	grid2	Grid2
E112	24	32	grid2	Grid2
E113	24	24	grid2	Grid2
E114	24	16	grid2	Grid2
E115	24	8	grid2	Grid2
E116	24	0	grid2	Grid2
E117	32	0	grid2	Grid2
E118	32	8	grid2	Grid2
E119	32	16	grid2	Grid2
E120	32	24	grid2	Grid2
E121	32	32	grid2	Grid2
E122	32	40	grid2	Grid2
E123	32	48	grid2	Grid2
E124	32	56	grid2	Grid2
E125	32	64	grid2	Grid2
E126	32	72	grid2	Grid2
E127	32	80	grid2	Grid2
E128	32	88	grid2	Grid2
R1	100	50	lowerLeg	Grid1
R2	0	50	lowerLeg	Grid2
