onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_correct	1	2	incongruent	490	n/a
2.5	1.0	incongruent_correct	1	2	incongruent	385	n/a
5.0	1.0	congruent_correct	1	1	congruent	336	n/a
7.5	1.0	congruent_correct	1	1	congruent	462	n/a
10.0	1.0	incongruent_correct	1	2	incongruent	358	n/a
12.5	1.0	incongruent_correct	1	2	incongruent	356	n/a
20.0	1.0	incongruent_correct	1	2	incongruent	473	n/a
22.5	1.0	incongruent_correct	1	2	incongruent	536	n/a
25.0	1.0	congruent_correct	1	1	congruent	335	n/a
27.5	1.0	congruent_correct	1	1	congruent	421	n/a
30.0	1.0	congruent_correct	1	1	congruent	437	n/a
32.5	1.0	congruent_correct	1	1	congruent	323	n/a
45.0	1.0	congruent_correct	1	1	congruent	485	n/a
47.5	1.0	congruent_correct	1	1	congruent	349	n/a
50.0	1.0	incongruent_correct	1	2	incongruent	452	n/a
52.5	1.0	incongruent_correct	1	2	incongruent	379	n/a
55.0	1.0	congruent_correct	1	1	congruent	409	n/a
57.5	1.0	incongruent_correct	1	2	incongruent	344	n/a
65.0	1.0	congruent_correct	1	1	congruent	348	n/a
67.5	1.0	incongruent_correct	1	2	incongruent	436	n/a
70.0	1.0	incongruent_incorrect	0	2	incongruent	347	n/a
72.5	1.0	incongruent_correct	1	2	incongruent	466	n/a
75.0	1.0	congruent_correct	1	1	congruent	344	n/a
77.5	1.0	congruent_correct	1	1	congruent	431	n/a
80.0	1.0	congruent_correct	1	1	congruent	374	n/a
82.5	1.0	congruent_correct	1	1	congruent	317	n/a
85.0	1.0	congruent_correct	1	1	congruent	427	n/a
87.5	1.0	incongruent_correct	1	2	incongruent	411	n/a
90.0	1.0	incongruent_correct	1	2	incongruent	369	n/a
92.5	1.0	congruent_correct	1	1	congruent	432	n/a
95.0	1.0	incongruent_correct	1	2	incongruent	526	n/a
97.5	1.0	incongruent_correct	1	2	incongruent	478	n/a
100.0	1.0	incongruent_correct	1	2	incongruent	420	n/a
102.5	1.0	incongruent_correct	1	2	incongruent	483	n/a
105.0	1.0	congruent_correct	1	1	congruent	497	n/a
107.5	1.0	congruent_correct	1	1	congruent	377	n/a
110.0	1.0	incongruent_correct	1	2	incongruent	456	n/a
112.5	1.0	incongruent_correct	1	2	incongruent	350	n/a
120.0	1.0	incongruent_correct	1	2	incongruent	331	n/a
122.5	1.0	congruent_correct	1	1	congruent	466	n/a
125.0	1.0	congruent_correct	1	1	congruent	433	n/a
127.5	1.0	congruent_correct	1	1	congruent	456	n/a
135.0	1.0	incongruent_correct	1	2	incongruent	549	n/a
137.5	1.0	congruent_correct	1	1	congruent	492	n/a
140.0	1.0	congruent_correct	1	1	congruent	355	n/a
142.5	1.0	incongruent_correct	1	2	incongruent	433	n/a
145.0	1.0	congruent_correct	1	1	congruent	441	n/a
147.5	1.0	incongruent_incorrect	0	2	incongruent	367	n/a
150.0	1.0	congruent_correct	1	1	congruent	430	n/a
152.5	1.0	congruent_correct	1	1	congruent	412	n/a
155.0	1.0	congruent_correct	1	1	congruent	324	n/a
157.5	1.0	incongruent_correct	1	2	incongruent	482	n/a
160.0	1.0	incongruent_correct	1	2	incongruent	489	n/a
