onset	duration	trial_type	rating_par
1.007	5	att_neut	n/a
7.015	3	rating_par	-0.867
15.014	5	att_neg	n/a
21.005	3	rating_par	1.133
29.005	5	att_neg	n/a
36.008	3	rating_par	0.133
41.004	5	suppr_neg	n/a
48.007	3	rating_par	-0.867
53.002	5	suppr_neg	n/a
61.001	3	rating_par	1.133
69.017	5	att_neg	n/a
76.004	3	rating_par	1.133
83.007	5	suppr_neg	n/a
89.015	3	rating_par	1.133
100.001	5	att_neut	n/a
106.009	3	rating_par	-0.867
111.004	5	att_neut	n/a
117.012	3	rating_par	-0.867
121.012	5	suppr_neg	n/a
127.003	3	rating_par	0.133
139.001	5	att_neg	n/a
146.005	3	rating_par	2.133
150.004	5	att_neut	n/a
157.008	3	rating_par	-0.867
163.016	5	suppr_neg	n/a
171.015	3	rating_par	-0.867
176.010	5	att_neut	n/a
183.013	3	rating_par	-0.867
188.009	5	att_neut	n/a
196.008	3	rating_par	-0.867
201.003	5	att_neg	n/a
208.007	3	rating_par	0.133
212.006	5	att_neut	n/a
219.010	3	rating_par	-0.867
225.018	5	att_neg	n/a
233.017	3	rating_par	1.133
240.003	5	att_neut	n/a
247.007	3	rating_par	-0.867
252.002	5	suppr_neg	n/a
259.006	3	rating_par	0.133
263.005	5	att_neg	n/a
270.009	3	rating_par	1.133
276.016	5	att_neg	n/a
285.011	3	rating_par	1.133
292.015	5	att_neut	n/a
301.010	3	rating_par	0.133
307.017	5	suppr_neg	n/a
314.004	3	rating_par	-0.867
319.016	5	suppr_neg	n/a
325.007	3	rating_par	0.133
332.011	5	suppr_neg	n/a
339.014	3	rating_par	-0.867
344.009	5	suppr_neg	n/a
351.013	3	rating_par	-0.867
355.012	5	att_neg	n/a
361.003	3	rating_par	0.133
365.003	5	att_neut	n/a
373.002	3	rating_par	-0.867
381.001	5	att_neg	n/a
387.009	3	rating_par	1.133
