name	type	status	manual
A1	NA	TRUE
	A2	NA	FALSE
	A3	NA	FALSE
	A4	NA	FALSE
	A5	NA	FALSE
	A6	NA	FALSE
	A7	NA	TRUE
	A8	NA	TRUE
	A9	NA	TRUE
	A10	NA	TRUE
	A11	NA	TRUE
	A12	NA	TRUE
	A13	NA	FALSE
	A14	NA	TRUE
	A15	NA	TRUE
	A16	NA	FALSE
	A17	NA	FALSE
	A18	NA	FALSE
	A19	NA	FALSE
	A20	NA	FALSE
	A21	NA	FALSE
	A22	NA	FALSE
	A23	NA	FALSE
	A24	NA	FALSE
	A25	NA	TRUE
	A26	NA	TRUE
	A27	NA	FALSE
	A28	NA	FALSE
	A29	NA	FALSE
	A30	NA	FALSE
	A31	NA	FALSE
	A32	NA	FALSE
	B1	NA	FALSE
	B2	NA	FALSE
	B3	NA	FALSE
	B4	NA	TRUE
	B5	NA	TRUE
	B6	NA	FALSE
	B7	NA	FALSE
	B8	NA	FALSE
	B9	NA	FALSE
	B10	NA	FALSE
	B11	NA	FALSE
	B12	NA	TRUE
	B13	NA	FALSE
	B14	NA	FALSE
	B15	NA	FALSE
	B16	NA	FALSE
	B17	NA	FALSE
	B18	NA	FALSE
	B19	NA	FALSE
	B20	NA	FALSE
	B21	NA	FALSE
	B22	NA	FALSE
	B23	NA	FALSE
	B24	NA	FALSE
	B25	NA	FALSE
	B26	NA	FALSE
	B27	NA	FALSE
	B28	NA	FALSE
	B29	NA	TRUE
	B30	NA	FALSE
	B31	NA	FALSE
	B32	NA	FALSE
	C1	NA	TRUE
	C2	NA	FALSE
	C3	NA	FALSE
	C4	NA	FALSE
	C5	NA	FALSE
	C6	NA	FALSE
	C7	NA	FALSE
	C8	NA	FALSE
	C9	NA	FALSE
	C10	NA	TRUE
	C11	NA	FALSE
	C12	NA	FALSE
	C13	NA	FALSE
	C14	NA	FALSE
	C15	NA	FALSE
	C16	NA	FALSE
	C17	NA	FALSE
	C18	NA	TRUE
	C19	NA	TRUE
	C20	NA	FALSE
	C21	NA	FALSE
	C22	NA	FALSE
	C23	NA	FALSE
	C24	NA	FALSE
	C25	NA	FALSE
	C26	NA	FALSE
	C27	NA	FALSE
	C28	NA	FALSE
	C29	NA	FALSE
	C30	NA	FALSE
	C31	NA	TRUE
	C32	NA	FALSE
	D1	NA	FALSE
	D2	NA	FALSE
	D3	NA	FALSE
	D4	NA	FALSE
	D5	NA	FALSE
	D6	NA	FALSE
	D7	NA	FALSE
	D8	NA	FALSE
	D9	NA	FALSE
	D10	NA	FALSE
	D11	NA	FALSE
	D12	NA	FALSE
	D13	NA	TRUE
	D14	NA	FALSE
	D15	NA	FALSE
	D16	NA	FALSE
	D17	NA	FALSE
	D18	NA	FALSE
	D19	NA	FALSE
	D20	NA	FALSE
	D21	NA	FALSE
	D22	NA	TRUE
	D23	NA	TRUE
	D24	NA	TRUE
	D25	NA	TRUE
	D26	NA	FALSE
	D27	NA	FALSE
	D28	NA	FALSE
	D29	NA	TRUE
	D30	NA	TRUE
	D31	NA	TRUE
	D32	NA	TRUE
	
