onset	duration	trial_type	rating_par
1.016	5	att_neut	n/a
7.007	3	rating_par	-0.933
15.006	5	att_neg	n/a
21.014	3	rating_par	2.067
29.013	5	att_neg	n/a
36.017	3	rating_par	-0.933
41.012	5	suppr_neg	n/a
48.015	3	rating_par	0.067
53.011	5	suppr_neg	n/a
61.010	3	rating_par	-0.933
69.009	5	att_neg	n/a
76.012	3	rating_par	2.067
83.016	5	suppr_neg	n/a
89.007	3	rating_par	0.067
100.010	5	att_neut	n/a
106.002	3	rating_par	-0.933
111.013	5	att_neut	n/a
117.004	3	rating_par	-0.933
121.004	5	suppr_neg	n/a
127.011	3	rating_par	-0.933
139.010	5	att_neg	n/a
146.013	3	rating_par	2.067
150.013	5	att_neut	n/a
157.016	3	rating_par	-0.933
163.007	5	suppr_neg	n/a
171.007	3	rating_par	-0.933
176.002	5	att_neut	n/a
183.005	3	rating_par	-0.933
188.017	5	att_neut	n/a
196.017	3	rating_par	-0.933
201.012	5	att_neg	n/a
208.015	3	rating_par	2.067
212.015	5	att_neut	n/a
219.001	3	rating_par	-0.933
225.009	5	att_neg	n/a
233.009	3	rating_par	1.067
240.012	5	att_neut	n/a
247.015	3	rating_par	-0.933
252.011	5	suppr_neg	n/a
259.014	3	rating_par	-0.933
263.014	5	att_neg	n/a
270.017	3	rating_par	1.067
276.008	5	att_neg	n/a
285.003	3	rating_par	2.067
292.007	5	att_neut	n/a
301.001	3	rating_par	-0.933
307.009	5	suppr_neg	n/a
314.013	3	rating_par	-0.933
319.008	5	suppr_neg	n/a
325.016	3	rating_par	-0.933
332.002	5	suppr_neg	n/a
339.006	3	rating_par	-0.933
344.018	5	suppr_neg	n/a
351.005	3	rating_par	0.067
355.004	5	att_neg	n/a
361.012	3	rating_par	2.067
365.012	5	att_neut	n/a
373.011	3	rating_par	-0.933
381.010	5	att_neg	n/a
387.001	3	rating_par	2.067
