onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	1	2	 incongruent	545
10.000	2.000	congruent_correct	n/a	1	1	 congruent	437
20.000	2.000	incongruent_incorrect	n/a	0	1	 congruent	481
30.000	2.000	congruent_correct	n/a	1	1	 congruent	397
42.000	2.000	incongruent_correct	n/a	1	2	 incongruent	520
52.000	2.000	incongruent_correct	n/a	1	1	 congruent	539
64.000	2.000	congruent_correct	n/a	1	2	 incongruent	414
76.000	2.000	incongruent_correct	n/a	1	2	 incongruent	449
88.000	2.000	congruent_correct	n/a	1	2	 incongruent	372
102.000	2.000	incongruent_correct	n/a	1	1	 congruent	484
116.000	2.000	incongruent_correct	n/a	1	1	 congruent	471
130.000	2.000	incongruent_correct	n/a	1	2	 incongruent	497
140.000	2.000	incongruent_correct	n/a	1	2	 incongruent	565
150.000	2.000	congruent_correct	n/a	1	1	 congruent	408
164.000	2.000	congruent_correct	n/a	1	2	 incongruent	386
174.000	2.000	congruent_correct	n/a	1	1	 congruent	414
184.000	2.000	incongruent_correct	n/a	1	2	 incongruent	497
196.000	2.000	congruent_correct	n/a	1	2	 incongruent	436
208.000	2.000	incongruent_correct	n/a	1	2	 incongruent	488
220.000	2.000	congruent_correct	n/a	1	1	 congruent	433
232.000	2.000	incongruent_correct	n/a	1	1	 congruent	524
246.000	2.000	incongruent_correct	n/a	1	1	 congruent	447
260.000	2.000	congruent_correct	n/a	1	1	 congruent	410
274.000	2.000	congruent_correct	n/a	1	2	 incongruent	403
