onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	584
10.000	2.000	congruent_correct	n/a	1	1	 congruent	492
20.000	2.000	congruent_correct	n/a	1	1	 congruent	408
30.000	2.000	congruent_correct	n/a	1	1	 congruent	347
42.000	2.000	incongruent_correct	n/a	1	2	 incongruent	502
52.000	2.000	congruent_correct	n/a	1	1	 congruent	385
64.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	356
76.000	2.000	incongruent_correct	n/a	1	2	 incongruent	511
88.000	2.000	incongruent_correct	n/a	1	2	 incongruent	579
102.000	2.000	congruent_correct	n/a	1	1	 congruent	404
116.000	2.000	congruent_correct	n/a	1	1	 congruent	366
130.000	2.000	incongruent_correct	n/a	1	2	 incongruent	488
144.000	2.000	incongruent_correct	n/a	1	2	 incongruent	488
154.000	2.000	congruent_correct	n/a	1	1	 congruent	446
164.000	2.000	incongruent_correct	n/a	1	2	 incongruent	498
174.000	2.000	congruent_correct	n/a	1	1	 congruent	382
184.000	2.000	incongruent_correct	n/a	1	2	 incongruent	585
196.000	2.000	incongruent_correct	n/a	1	2	 incongruent	460
208.000	2.000	incongruent_correct	n/a	1	2	 incongruent	510
222.000	2.000	congruent_correct	n/a	1	1	 congruent	392
234.000	2.000	congruent_correct	n/a	1	1	 congruent	404
246.000	2.000	congruent_correct	n/a	1	1	 congruent	381
260.000	2.000	congruent_correct	n/a	1	1	 congruent	367
274.000	2.000	incongruent_correct	n/a	1	2	 incongruent	480
